"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Kiri Industries Limited","33620646","14215878","    42.28","19404768","59573","     0.42","     0.18","23-Nov-2020 11:30:26","2042191","33583591","6.08"
"Kirloskar Brothers Limited","79408926","52371675","    65.95","27037251","0","     0.00","     0.00","23-Nov-2020 11:30:27","1508704","77657685","1.94"
"Kirloskar Electric Company Limited","66414071","32882117","    49.51","33531954","27751674","    84.40","    41.79","23-Nov-2020 11:30:05","29076416","63000664","46.15"
"Kirloskar Industries Limited","9708619","7098178","    73.11","2610441","0","     0.00","     0.00","23-Nov-2020 11:30:27","64503","9597174","0.67"
"Kirloskar Oil Engines Limited","144613861","85962905","    59.44","58650956","0","     0.00","     0.00","23-Nov-2020 11:30:28","1891912","139197738","1.36"
"Kitex Garments Limited","66500000","36956817","    55.57","29543183","0","     0.00","     0.00","23-Nov-2020 11:30:30","2005283","64982820","3.09"
"Kohinoor Foods Limited","37071530","20225240","    54.56","16846290","0","     0.00","     0.00","23-Nov-2020 11:30:09","252456","34814359","0.73"
"Kokuyo Camlin Limited","100303806","75215950","    74.99","25087856","0","     0.00","     0.00","23-Nov-2020 11:30:17","1626421","99118517","1.64"
"Kolte - Patil Developers Limited","76004409","56582478","    74.45","19421931","0","     0.00","     0.00","23-Nov-2020 11:30:25","871765","76003995","1.15"
"Kopran Limited","43252602","18934203","    43.78","24318399","0","     0.00","     0.00","23-Nov-2020 11:30:14","1300198","42953796","3.03"
"Kotak Mahindra Bank Limited","1979207809","515667264","    26.05","1463540545","0","     0.00","     0.00","23-Nov-2020 11:30:13","12302677","1974354040","0.62"
"Kothari Petrochemicals Limited","58846400","41772005","    70.98","17074395","0","     0.00","     0.00","23-Nov-2020 11:30:16","961088","57394468","1.67"
"Kothari Products Limited","29843865","22380155","    74.99","7463710","0","     0.00","     0.00","23-Nov-2020 11:30:16","143581","29570483","0.49"
"Kothari Sugars And Chemicals Limited","82888580","60947600","    73.53","21940980","0","     0.00","     0.00","23-Nov-2020 11:30:20","1078950","82800506","1.3"
"Krebs Biochemicals and Industries Limited","19620586","13743425","    70.05","5877161","0","     0.00","     0.00","23-Nov-2020 11:30:11","277690","18966655","1.46"
"Kridhan Infra Limited","94779205","44691160","    47.15","50088045","0","     0.00","     0.00","23-Nov-2020 11:30:31","2610398","94714180","2.76"
"Ksb Limited","34807844","23114306","    66.41","11693538","0","     0.00","     0.00","23-Nov-2020 11:30:14","171907","34526663","0.5"
"Kuantum Papers Limited","87263630","61350690","    70.30","25912940","0","     0.00","     0.00","23-Nov-2020 11:30:32","7661941","84473470","9.07"
"L&T Finance Holdings Limited","2006532602","1277520203","    63.67","729012399","0","     0.00","     0.00","23-Nov-2020 11:30:29","33601546","2006974374","1.67"
"LCC Infotech Limited","126593350","58131011","    45.92","68462339",,,,"23-Nov-2020 11:30:17","455311","124763994","0.36"
"LEEL Electricals Limited","40332260","16982801","    42.11","23349459","84411","     0.50","     0.21","23-Nov-2020 11:30:16","698091","40117590","1.74"
"LG Balakrishnan & Bros Limited","31392416","13833231","    44.07","17559185","2802387","    20.26","     8.93","23-Nov-2020 11:30:27","3114348","30751815","10.13"
"LGB Forge Limited","238202463","178408560","    74.90","59793903","0","     0.00","     0.00","23-Nov-2020 11:30:26","1004267","236027853","0.43"
"LIC Housing Finance Limited","504663000","203442495","    40.31","301220505","0","     0.00","     0.00","23-Nov-2020 11:30:12","5912073","501758809","1.18"
"LT Foods Limited","319844780","181708772","    56.81","138136008","4430000","     2.44","     1.39","23-Nov-2020 11:30:23","20920672","318694526","6.56"
"La Opala RG Limited","111000000","72865000","    65.64","38135000","0","     0.00","     0.00","23-Nov-2020 11:30:23","2389050","110484827","2.16"
"Lakshmi Energy and Foods Limited","73630000","39319058","    53.40","34310942",,,,"23-Nov-2020 11:30:23","1168887","68788212","1.7"
"Lakshmi Finance & Industrial Corporation Limited","3000000","1410102","    47.00","1589898","0","     0.00","     0.00","23-Nov-2020 11:30:30","6449","2263523","0.28"
"Lakshmi Machine Works Limited","10683000","3323806","    31.11","7359194","0","     0.00","     0.00","23-Nov-2020 11:30:04","605370","10626905","5.7"
"Lakshmi Precision Screws Limited","10941667","6877078","    62.85","4064589","0","     0.00","     0.00","23-Nov-2020 11:30:22","51765","10645229","0.49"
"Lakshmi Vilas Bank Limited","336713751","22909972","     6.80","313803779","7996881","    34.91","     2.37","23-Nov-2020 11:30:10","31079829","330394054","9.41"
"Lambodhara Textiles Limited","9577600","6738884","    70.36","2838716","2982506","    44.26","    31.14","23-Nov-2020 11:30:30","3126541","9418600","33.2"
"Landmark Property Development Company Limited","134143160","87401268","    65.16","46741892","0","     0.00","     0.00","23-Nov-2020 11:30:26","442794","131637487","0.34"
"Larsen & Toubro Limited","1404034846","21404823","     1.52","1382630023","0","     0.00","     0.00","23-Nov-2020 11:30:20","19317068","1385998639","1.39"
"Lasa Supergenerics Limited","40672668","26222090","    64.47","14450578",,,,"23-Nov-2020 11:30:31","739683","40668687","1.82"
"Laurus Labs Limited","535994995","172170665","    32.12","363824330","28275000","    16.42","     5.28","23-Nov-2020 11:30:31","76663638","535984960","14.3"
"Lemon Tree Hotels Limited","792246464","247921794","    31.29","544324670","83546387","    33.70","    10.55","23-Nov-2020 11:30:32","121164282","767102660","15.8"
"Liberty Shoes Limited","17040000","10104655","    59.30","6935345","0","     0.00","     0.00","23-Nov-2020 11:30:11","770469","16782582","4.59"
"Linde India Limited","85284223","63963167","    75.00","21321056","0","     0.00","     0.00","23-Nov-2020 11:30:06","1302410","84664633","1.54"
"Lloyds Steels Industries Limited","898698382","414441116","    46.12","484257266","0","     0.00","     0.00","23-Nov-2020 11:30:31","16537884","890383910","1.86"
"Lokesh Machines Limited","17896770","9012222","    50.36","8884548","4535735","    50.33","    25.34","23-Nov-2020 11:30:22","5264389","17893760","29.42"
"Lotus Eye Hospital and Institute Limited","20796330","11995057","    57.68","8801273","0","     0.00","     0.00","23-Nov-2020 11:30:26","173113","20795423","0.83"
"Lovable Lingerie Limited","14800000","9465209","    63.95","5334791","0","     0.00","     0.00","23-Nov-2020 11:30:28","437844","14799989","2.96"
"Lumax Auto Technologies Limited","68157705","38154430","    55.98","30003275","0","     0.00","     0.00","23-Nov-2020 11:30:23","1180380","68157690","1.73"
"Lumax Industries Limited","9347732","7010798","    75.00","2336934","0","     0.00","     0.00","23-Nov-2020 11:30:05","262509","9205618","2.85"
"Lupin Limited","453240333","212597654","    46.91","240642679",,,,"23-Nov-2020 11:30:18","13589888","452256378","3"
"Lyka Labs Limited","28690000","5702265","    19.88","22987735","1525965","    26.76","     5.32","23-Nov-2020 11:30:13","2098023","28449142","7.37"
"Lypsa Gems & Jewellery Limited","21312228","10724500","    50.32","10587728","0","     0.00","     0.00","23-Nov-2020 11:30:30","304172","24857926","1.22"
"MBL Infrastructures Limited","104754624","71741909","    68.49","33012715","1978000","     2.76","     1.89","23-Nov-2020 11:30:27","3816099","104754606","3.64"
"MEP Infrastructure Developers Limited","183446051","113200502","    61.71","70245549","100576844","    88.85","    54.83","23-Nov-2020 11:30:31","99494371","183446021","54.24"
"MIC Electronics Limited","220254319","16766803","     7.61","203487516","4387000","    26.16","     1.99","23-Nov-2020 11:30:24","6959892","218252600","3.19"
"MIRC Electronics Limited","230952619","123242638","    53.36","107709981","42525503","    34.51","    18.41","23-Nov-2020 11:30:11","51450200","228093027","22.56"
"MM Forgings Limited","24140800","13599890","    56.34","10540910","0","     0.00","     0.00","23-Nov-2020 11:30:16","103022","23708630","0.43"
"MMTC Limited","1500000000","1348903143","    89.93","151096857","0","     0.00","     0.00","23-Nov-2020 11:30:27","10353696","1499995255","0.69"
"MOIL Limited","237327879","152729899","    64.35","84597980","0","     0.00","     0.00","23-Nov-2020 11:30:28","3239895","237327221","1.37"
"MPS Limited","18616926","12616996","    67.77","5999930","0","     0.00","     0.00","23-Nov-2020 11:30:18","533780","18036313","2.96"
"MRF Limited","4241143","1182170","    27.87","3058973","400","     0.03","     0.01","23-Nov-2020 11:30:15","37719","3159105","1.19"
"MRO-TEK Realty Limited","18684602","10125538","    54.19","8559064","0","     0.00","     0.00","23-Nov-2020 11:30:18","151044","18596193","0.81"
"MSP Steel & Power Limited","385415000","160405525","    41.62","225009475","160405525","   100.00","    41.62","23-Nov-2020 11:30:21","161002147","383651796","41.97"
"MT Educare Limited","72228054","54213721","    75.06","18014333","32668416","    60.26","    45.23","23-Nov-2020 11:30:29","33130024","72188156","45.89"
"MVL Limited","601243200","334210787","    55.59","267032413","102348420","    30.62","    17.02","23-Nov-2020 11:30:26","92644995","600396604","15.43"
"Maan Aluminium Limited","6760608","4415700","    65.32","2344908","0","     0.00","     0.00","23-Nov-2020 11:30:25","43297","6666033","0.65"
"Madhav Marbles and Granites Limited","8947000","3623458","    40.50","5323542","0","     0.00","     0.00","23-Nov-2020 11:30:25","93943","8715790","1.08"
"Madhucon Projects Limited","73794940","43508038","    58.96","30286902","0","     0.00","     0.00","23-Nov-2020 11:30:22","970151","73540130","1.32"
"Madras Fertilizers Limited","161101300","137368200","    85.27","23733100","0","     0.00","     0.00","23-Nov-2020 11:30:16","1049406","157308498","0.67"
"Mafatlal Finance Limited","29436275","18762052","    63.74","10674223","0","     0.00","     0.00","23-Nov-2020 11:30:12","0","30466239","0"
"Magma Fincorp Limited","269524912","65752083","    24.40","203772829","0","     0.00","     0.00","23-Nov-2020 11:30:19","10305676","268802097","3.83"
"Magnum Ventures Limited","37601884","19960700","    53.08","17641184","13972490","    70.00","    37.16","23-Nov-2020 11:30:25","14881242","37601875","39.58"
"Maha Rashtra Apex Corporation Limited","14091896","8813105","    62.54","5278791","0","     0.00","     0.00","23-Nov-2020 11:30:16","67172","11391845","0.59"
"Mahanagar Telephone Nigam Limited","630000000","361418134","    57.37","268581866","0","     0.00","     0.00","23-Nov-2020 11:30:15","11729075","629925539","1.86"
"Maharashtra Scooters Limited","11428568","5828560","    51.00","5600008","0","     0.00","     0.00","23-Nov-2020 11:30:04","320657","11135198","2.88"
"Maharashtra Seamless Limited","66999626","42239694","    63.04","24759932","0","     0.00","     0.00","23-Nov-2020 11:30:08","1505797","66313673","2.27"
"Mahindra & Mahindra Financial Services Limited","1235529920","648490873","    52.49","587039047","0","     0.00","     0.00","23-Nov-2020 11:30:22","12469153","1235288045","1.01"
"Mahindra & Mahindra Limited","1243192544","328966739","    26.46","914225805","3140000","     0.95","     0.25","23-Nov-2020 11:30:11","9020880","1237733221","0.73"
"Mahindra CIE Automotive Limited","379010682","271426786","    71.61","107583896","0","     0.00","     0.00","23-Nov-2020 11:30:24","1319472","377168011","0.35"
"Mahindra Holidays & Resorts India Limited","133553784","90520655","    67.78","43033129","0","     0.00","     0.00","23-Nov-2020 11:30:26","3327411","133541408","2.49"
"Mahindra Lifespace Developers Limited","51372638","26439850","    51.47","24932788","0","     0.00","     0.00","23-Nov-2020 11:30:17","599014","51003754","1.17"
"Maithan Alloys Limited","29111550","21829366","    74.99","7282184","0","     0.00","     0.00","23-Nov-2020 11:30:29","548287","29046485","1.89"
"Majesco Limited","29882161","10988672","    36.77","18893489","450000","     4.10","     1.51","23-Nov-2020 11:30:31","1012307","29983127","3.38"
"Malu Paper Mills Limited","17059250","11933008","    69.95","5126242","8700714","    72.91","    51.00","23-Nov-2020 11:30:22","9048250","17055688","53.05"
"Man Industries (India) Limited","57103055","24196927","    42.37","32906128","10017139","    41.40","    17.54","23-Nov-2020 11:30:12","13004615","56320429","23.09"
"Man Infraconstruction Limited","247500270","161419176","    65.22","86081094","0","     0.00","     0.00","23-Nov-2020 11:30:27","9442648","247465025","3.82"
"Manaksia Coated Metals & Industries Limited","65534050","44044440","    67.21","21489610","0","     0.00","     0.00","23-Nov-2020 11:30:30","1659477","65532958","2.53"
"Manaksia Limited","65534050","49105940","    74.93","16428110","0","     0.00","     0.00","23-Nov-2020 11:30:25","1093662","65533741","1.67"
"Manali Petrochemicals Limited","171999229","77167251","    44.86","94831978","0","     0.00","     0.00","23-Nov-2020 11:30:23","5279701","164780103","3.2"
"Manappuram Finance Limited","846147490","296156139","    35.00","549991351","2288000","     0.77","     0.27","23-Nov-2020 11:30:27","14054258","842093462","1.67"
"Mangalam Cement Limited","26693780","6303360","    23.61","20390420","0","     0.00","     0.00","23-Nov-2020 11:30:11","7757776","26443242","29.34"
"Mangalam Drugs And Organics Limited","15828248","7998046","    50.53","7830202","2684600","    33.57","    16.96","23-Nov-2020 11:30:20","3177912","15828238","20.08"
"Mangalam Timber Products Limited","18327400","6864613","    37.46","11462787","0","     0.00","     0.00","23-Nov-2020 11:30:13","1089613","17398519","6.26"
"Mangalore Chemicals & Fertilizers Limited","118515150","70720268","    59.67","47794882","64028362","    90.54","    54.03","23-Nov-2020 11:30:25","69417652","115636868","60.03"
"Mangalore Refinery and Petrochemicals Limited","1752598777","1552507615","    88.58","200091162","0","     0.00","     0.00","23-Nov-2020 11:30:06","9292748","1732516580","0.54"
"Manpasand Beverages Limited","114462396","50745000","    44.33","63717396","50730000","    99.97","    44.32","23-Nov-2020 11:30:31","51562679","114462187","45.05"
"Manugraph India Limited","30415061","17470578","    57.44","12944483","0","     0.00","     0.00","23-Nov-2020 11:30:17","2637257","29873860","8.83"
"Maral Overseas Limited","41508000","31108829","    74.95","10399171","14942880","    48.03","    36.00","23-Nov-2020 11:30:08","15626123","40863592","38.24"
"Marico Limited","1291230848","770749530","    59.69","520481318","0","     0.00","     0.00","23-Nov-2020 11:30:15","3619517","1290558790","0.28"
"Marksans Pharma Limited","409313698","197491733","    48.25","211821965","0","     0.00","     0.00","23-Nov-2020 11:30:18","13486303","408511358","3.3"
"Maruti Suzuki India Limited","302080060","170283762","    56.37","131796298","0","     0.00","     0.00","23-Nov-2020 11:30:19","1076840","302077886","0.36"
"Mastek Limited","24544126","10953660","    44.63","13590466","0","     0.00","     0.00","23-Nov-2020 11:30:04","1279176","24637881","5.19"
"Mawana Sugars Limited","39116864","24835976","    63.49","14280888","1000000","     4.03","     2.56","23-Nov-2020 11:30:26","1859994","38616185","4.82"
"Max Financial Services Limited","269574504","60203608","    22.33","209370896","54373506","    90.32","    20.17","23-Nov-2020 11:30:14","59002710","268643869","21.96"
"Max Healthcare Institute Limited","904532524","680617329","    75.25","223915195","0","     0.00","     0.00","23-Nov-2020 11:30:32","2222226","904532524","0.25"
"Max India Limited","53786261","21991013","    40.89","31795248","17172820","    78.09","    31.93","23-Nov-2020 11:30:32","4109643","47826034","8.59"
"Max Ventures and Industries Limited","146624062","72836286","    49.68","73787776","0","     0.00","     0.00","23-Nov-2020 11:30:31","1622563","146386776","1.11"
"Mayur Uniquoters Ltd","45327600","27867239","    61.48","17460361",,,,"23-Nov-2020 11:30:30","829261","44615386","1.86"
"McDowell Holdings Limited","13992258","317032","     2.27","13675226","317030","   100.00","     2.27","23-Nov-2020 11:30:24","895381","13605155","6.58"
"Mcleod Russel India Limited","104455735","19136835","    18.32","85318900","18617500","    97.29","    17.82","23-Nov-2020 11:30:21","26483154","103200229","25.66"
"Mcnally Bharat Engineering Company Limited","211570757","72374046","    34.21","139196711","9536722","    13.18","     4.51","23-Nov-2020 11:30:22","11219075","172048065","6.52"
"Megasoft Limited","44267293","3203956","     7.24","41063337","0","     0.00","     0.00","23-Nov-2020 11:30:24","863660","39958096","2.16"
"Meghmani Organics Limited","254314211","137358455","    54.01","116955756","0","     0.00","     0.00","23-Nov-2020 11:30:24","10296139","254213950","4.05"
"Melstar Information Technologies Limited","14283139","6720976","    47.06","7562163","3133138","    46.62","    21.94","23-Nov-2020 11:30:17","3258245","14029688","23.22"
"Menon Bearings Limited","56040000","39872996","    71.15","16167004","3800000","     9.53","     6.78","23-Nov-2020 11:30:30","4165332","53035426","7.85"
"Mercator Limited","302459335","33596400","    11.11","268862935","12650000","    37.65","     4.18","23-Nov-2020 11:30:21","25505035","300981776","8.47"
"Metalyst Forgings Limited","43550000","26704492","    61.32","16845508","0","     0.00","     0.00","23-Nov-2020 11:30:11","423809","43343326","0.98"
"Metkore Alloys & Industries Limited","70426475","40298483","    57.22","30127992",,,,"23-Nov-2020 11:30:26","116529","68222890","0.17"
"Metropolis Healthcare Limited","50928926","25752991","    50.57","25175935","1400000","     5.44","     2.75","23-Nov-2020 11:30:32","1550634","50928924","3.04"
"MindTree Limited","164701666","111320640","    67.59","53381026","0","     0.00","     0.00","23-Nov-2020 11:30:23","655645","164530447","0.4"
"Minda Industries Limited","271928704","192754383","    70.88","79174321","0","     0.00","     0.00","23-Nov-2020 11:30:23","1071820","270815423","0.4"
"Mirza International Limited","120306000","84760241","    70.45","35545759","0","     0.00","     0.00","23-Nov-2020 11:30:16","4667313","119790405","3.9"
"Modi Rubber Limited","25040532","15698952","    62.69","9341580","1288015","     8.20","     5.14","23-Nov-2020 11:30:11","12886","19994389","0.06"
"Mohit Industries Limited","14157575","7418167","    52.40","6739408","0","     0.00","     0.00","23-Nov-2020 11:30:30","109601","14142015","0.78"
"Mohota Industries Limited","14707092","6238791","    42.42","8468301","1563863","    25.07","    10.63","23-Nov-2020 11:30:15","3307798","14574656","22.7"
"Mold-Tek Packaging Limited","27732717","9638650","    34.76","18094067","314650","     3.26","     1.13","23-Nov-2020 11:30:30","789209","27621967","2.86"
"Mold-Tek Technologies Limited","27954278","14070844","    50.34","13883434","150000","     1.07","     0.54","23-Nov-2020 11:30:31","315418","27845713","1.13"
"Monte Carlo Fashions Limited","20732064","14138677","    68.20","6593387","0","     0.00","     0.00","23-Nov-2020 11:30:30","393249","20725261","1.9"
"Morarjee Textiles Limited","36332349","23206657","    63.87","13125692","0","     0.00","     0.00","23-Nov-2020 11:30:30","213800","35890161","0.6"
"Morepen Laboratories Limited","449826203","155371588","    34.54","294454615","0","     0.00","     0.00","23-Nov-2020 11:30:13","14316433","382152775","3.75"
"Motherson Sumi Systems Limited","3157934237","1949286546","    61.73","1208647691","208426512","    10.69","     6.60","23-Nov-2020 11:30:15","209255917","3148012638","6.65"
"Motilal Oswal Financial Services Limited","146888536","103296080","    70.32","43592456","0","     0.00","     0.00","23-Nov-2020 11:30:24","2253872","146130514","1.54"
"MphasiS Limited","186622497","104802097","    56.16","81820400","0","     0.00","     0.00","23-Nov-2020 11:30:16","507340","186590388","0.27"
"Mukand Engineers Limited","12572400","6630798","    52.74","5941602","0","     0.00","     0.00","23-Nov-2020 11:30:17","106983","12317641","0.87"
"Mukand Limited","141405861","105136968","    74.35","36268893","0","     0.00","     0.00","23-Nov-2020 11:30:19","1487049","140231192","1.06"
"Mukta Arts Limited","22585200","15893290","    70.37","6691910","0","     0.00","     0.00","23-Nov-2020 11:30:17","378117","22572070","1.68"
"Munjal Auto Industries Limited","100000000","74806450","    74.81","25193550","0","     0.00","     0.00","23-Nov-2020 11:30:22","1481832","98584685","1.5"
"Munjal Showa Limited","39995000","26004075","    65.02","13990925","0","     0.00","     0.00","23-Nov-2020 11:30:10","727900","39553878","1.84"
"Murudeshwar Ceramics Limited","47573922","31793286","    66.83","15780636","0","     0.00","     0.00","23-Nov-2020 11:30:11","633522","47219316","1.34"
"Muthoot Finance Limited","401172216","294463872","    73.40","106708344","0","     0.00","     0.00","23-Nov-2020 11:30:28","1360873","401172074","0.34"
"N R Agarwal Industries Limited","17019100","12516998","    73.55","4502102","0","     0.00","     0.00","23-Nov-2020 11:30:31","637849","16708279","3.82"
"NACL Industries Limited","192605261","121915859","    63.30","70689402","46773453","    38.37","    24.28","23-Nov-2020 11:30:31","48320491","189404393","25.51"
"NBCC (India) Limited","1800000000","1111579093","    61.75","688420907","0","     0.00","     0.00","23-Nov-2020 11:30:29","61042305","1799983167","3.39"
"NCC Limited","609846588","120042680","    19.68","489803908","31442577","    26.19","     5.16","23-Nov-2020 11:30:12","98536809","608922568","16.18"
"NCL Industries Limited","45232790","19765621","    43.70","25467169","590455","     2.99","     1.31","23-Nov-2020 11:30:24","4078062","44029750","9.26"
"NELCO Limited","22818400","11428940","    50.09","11389460","0","     0.00","     0.00","23-Nov-2020 11:30:04","948789","21675192","4.38"
"NHPC Limited","10045034805","7126772676","    70.95","2918262129","0","     0.00","     0.00","23-Nov-2020 11:30:26","52425156","10044769962","0.52"
"NIIT Limited","141756608","48604637","    34.29","93151971","0","     0.00","     0.00","23-Nov-2020 11:30:20","3633127","141404590","2.57"
"NK Industries Limited","6009900","4276704","    71.16","1733196","0","     0.00","     0.00","23-Nov-2020 11:30:10","2491","5466080","0.05"
"NLC India Limited","1386636609","1098221224","    79.20","288415385","0","     0.00","     0.00","23-Nov-2020 11:30:18","5783448","1384540270","0.42"
"NMDC Limited","3061849659","2132453593","    69.65","929396066","0","     0.00","     0.00","23-Nov-2020 11:30:25","21717373","3061750440","0.71"
"NOCIL Limited","165935055","56391184","    33.98","109543871","5364062","     9.51","     3.23","23-Nov-2020 11:30:08","18833601","163592166","11.51"
"NRB Bearing Limited","96922600","47536641","    49.05","49385959","600000","     1.26","     0.62","23-Nov-2020 11:30:17","2106416","96596540","2.18"
"NRB Industrial Bearings Limited","24230650","17765749","    73.32","6464901","0","     0.00","     0.00","23-Nov-2020 11:30:30","109055","24125671","0.45"
"NTPC Limited","9894557280","5048097508","    51.02","4846459772","0","     0.00","     0.00","23-Nov-2020 11:30:20","30715322","9894470820","0.31"
"NXTDIGITAL LIMITED","24051158","14967009","    62.23","9084149","0","     0.00","     0.00","23-Nov-2020 11:30:24","120364","23292195","0.52"
"Nagarjuna Fertilizers and Chemicals Limited","598065003","341700129","    57.13","256364874","296072140","    86.65","    49.51","23-Nov-2020 11:30:31","299824255","576938049","51.97"
"Nagarjuna Oil Refinery Limited","428181821","171719642","    40.10","256462179","105781889","    61.60","    24.70","23-Nov-2020 11:30:29","104040285","393229585","26.46"
"Nagreeka Capital & Infrastructure Limited","12615300","6753159","    53.53","5862141","0","     0.00","     0.00","23-Nov-2020 11:30:24","51016","12126846","0.42"
"Nagreeka Exports Limited","12499700","6608709","    52.87","5890991","0","     0.00","     0.00","23-Nov-2020 11:30:24","72620","12247462","0.59"
"Nahar Capital and Financial Services Limited","16746167","11822011","    70.60","4924156","0","     0.00","     0.00","23-Nov-2020 11:30:25","522167","16491713","3.17"
"Nahar Industrial Enterprises Limited","39835141","27413178","    68.82","12421963","0","     0.00","     0.00","23-Nov-2020 11:30:21","469982","37868984","1.24"
"Nahar Poly Films Limited","24587991","17283559","    70.29","7304432","0","     0.00","     0.00","23-Nov-2020 11:30:24","246985","23668792","1.04"
"Nahar Spinning Mills Limited","36065303","23674824","    65.64","12390479","0","     0.00","     0.00","23-Nov-2020 11:30:24","584917","35112763","1.67"
"Nakoda Limited","300000000","136849600","    45.62","163150400","6218400","     4.54","     2.07","23-Nov-2020 11:30:30","11482988","296046043","3.88"
"Nalwa Sons Investments Limited","5136163","2856470","    55.61","2279693","0","     0.00","     0.00","23-Nov-2020 11:30:19","9320","4959929","0.19"
"Nandan Denim Limited","48049056","31102147","    64.73","16946909","0","     0.00","     0.00","23-Nov-2020 11:30:29","1537975","48038724","3.2"
"Natco Pharma Limited","182186335","89103245","    48.91","93083090","0","     0.00","     0.00","23-Nov-2020 11:30:15","5004961","181444427","2.76"
"Nath Bio-Genes (India) Limited","19004000","7942342","    41.79","11061658","2884000","    36.31","    15.18","23-Nov-2020 11:30:30","7039016","18676389","37.69"
"National Aluminium Company Limited","1865617498","960793011","    51.50","904824487","0","     0.00","     0.00","23-Nov-2020 11:30:17","50796467","1863764006","2.73"
"National Fertilizers Limited","490578400","366529532","    74.71","124048868","0","     0.00","     0.00","23-Nov-2020 11:30:23","5364854","490306996","1.09"
"National Steel And Agro Industries Limited","44500000","22185263","    49.85","22314737","0","     0.00","     0.00","23-Nov-2020 11:30:04","248211","41011342","0.61"
"Nava Bharat Ventures Limited","176217020","84651321","    48.04","91565699","0","     0.00","     0.00","23-Nov-2020 11:30:15","5510851","175292249","3.14"
"Navin Fluorine International Limited","49494475","15099724","    30.51","34394751","450000","     2.98","     0.91","23-Nov-2020 11:30:24","1813905","48364367","3.75"
"Navkar Corporation Limited","150519181","103898347","    69.03","46620834","9248347","     8.90","     6.14","23-Nov-2020 11:30:31","17608327","150519179","11.7"
"Navneet Education Limited","228870500","142646263","    62.33","86224237","0","     0.00","     0.00","23-Nov-2020 11:30:13","3710825","226536589","1.64"
"Nectar Lifesciences Limited","224260970","145468000","    64.87","78792970","0","     0.00","     0.00","23-Nov-2020 11:30:21","3129248","224258670","1.4"
"Nelcast Limited","87001200","65106012","    74.83","21895188","0","     0.00","     0.00","23-Nov-2020 11:30:24","1118496","87001185","1.29"
"Nesco Limited","70459960","48288483","    68.53","22171477","0","     0.00","     0.00","23-Nov-2020 11:30:26","1012496","68939700","1.47"
"Network18 Media & Investments Limited","1046948519","785211389","    75.00","261737130","0","     0.00","     0.00","23-Nov-2020 11:30:23","86520983","1046829845","8.27"
"Neueon Towers Limited","56544552","21074443","    37.27","35470109","21073086","    99.99","    37.27","23-Nov-2020 11:30:30","20997011","56227595","37.34"
"Neuland Laboratories Limited","12829889","4650832","    36.25","8179057","200000","     4.30","     1.56","23-Nov-2020 11:30:10","1029163","12712891","8.1"
"New Delhi Television Limited","64471267","39615168","    61.45","24856099","0","     0.00","     0.00","23-Nov-2020 11:30:19","379314","64435159","0.59"
"Next Mediaworks Limited","66892908","50161307","    74.99","16731601","0","     0.00","     0.00","23-Nov-2020 11:30:18","165504","66891019","0.25"
"Nilkamal Limited","14922525","9599446","    64.33","5323079","0","     0.00","     0.00","23-Nov-2020 11:30:12","215536","14810966","1.46"
"Nippon Life India Asset Management Limited","612471695","464706691","    75.87","147765004",,,,"23-Nov-2020 11:30:32","8350887","612566103","1.36"
"Nitco Limited","71858955","38097176","    53.02","33761779","34814838","    91.38","    48.45","23-Nov-2020 11:30:22","36727492","71844326","51.12"
"Nitin Fire Protection Industries Limited","292269622","173713701","    59.44","118555921","37163888","    21.39","    12.72","23-Nov-2020 11:30:24","39197354","292269165","13.41"
"Nitin Spinners Limited","56220000","31505032","    56.04","24714968","0","     0.00","     0.00","23-Nov-2020 11:30:21","1279732","56219370","2.28"
"Noesis Industries Limited","26329091","11650144","    44.25","14678947","4133076","    35.48","    15.70","23-Nov-2020 11:30:25","4165971","25963593","16.05"
"Noida Toll Bridge Company Limited","186195002","49095007","    26.37","137099995","0","     0.00","     0.00","23-Nov-2020 11:30:17","7052086","185862129","3.79"
"Norben Tea & Exports Limited","11750000","6044759","    51.44","5705241","0","     0.00","     0.00","23-Nov-2020 11:30:15","30708","9242194","0.33"
"Nu Tek India Limited","154518600","14694204","     9.51","139824396",,,,"23-Nov-2020 11:30:26","1135722","153610685","0.74"
"Nucleus Software Exports Limited","29040724","19627866","    67.59","9412858","0","     0.00","     0.00","23-Nov-2020 11:30:19","394307","28981554","1.36"
"OCL Iron and Steel Limited","134143160","51494284","    38.39","82648876","0","     0.00","     0.00","23-Nov-2020 11:30:26","1490291","130869970","1.14"
