"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"AIRAN","Airan Limited","Mrs Poonam Sandeep Agrawal and Mr Sandeepkumar  V Agrawal along with PAC","20-NOV-2020 to 20-NOV-2020","300000",,"92981213","Reg29(2)","23-Nov-2020, 21-10"
"BIGBLOC","Bigbloc Construction Limited","NARAYAN SITARAM SABOO HUF","20-NOV-2020 to 20-NOV-2020","14485",,"472153","Reg29(2)","23-Nov-2020, 21-10"
"LGBFORGE","LGB Forge Limited","Vijayshree Vijaykumar","20-NOV-2020 to 20-NOV-2020",,"42192","1238195","Reg29(2)","23-Nov-2020, 21-08"
"MAJESCO","Majesco Limited","RAJASTHAN GLOBAL SECURITIES PRIVATE LIMITED","19-NOV-2020 to 19-NOV-2020","240000",,"2319302","Reg29(2)","23-Nov-2020, 21-06"
"BIGBLOC","Bigbloc Construction Limited","Narayan Sitaram Saboo HUF","19-NOV-2020 to 19-NOV-2020","715",,"457668","Reg29(2)","23-Nov-2020, 14-44"
"INOXLEISUR","INOX Leisure Limited","GFL Limited","12-NOV-2020 to 12-NOV-2020",,,"52786467","Reg29(2)","23-Nov-2020, 14-42"
"RITES","RITES Limited","President of India, acting through Ministry of Railways, Government of India","18-NOV-2020 to 18-NOV-2020",,"6542401","173504773","Reg29(2)","23-Nov-2020, 14-42"
"MAJESCO","Majesco Limited","LRSD SECURITIES PRIVATE LIMITED","19-NOV-2020 to 19-NOV-2020","240000",,"2319302","Reg29(2)","23-Nov-2020, 14-40"
"NCLIND","NCL Industries Limited","Penmetsa Narsimha Raju","19-NOV-2020 to 19-NOV-2020","16391",,"1190010","Reg29(2)","23-Nov-2020, 14-40"
"SITINET","Siti Networks Limited","L&T Finance Limited","18-NOV-2020 to 18-NOV-2020","57383732",,"57383732","Reg29(1)","23-Nov-2020, 14-38"
"TEXINFRA","Texmaco Infrastructure & Holdings Limited","Hardik B Patel alongwith PAC","17-NOV-2020 to 17-NOV-2020","509992",,"14044068","Reg29(2)","23-Nov-2020, 14-38"
"ZEELEARN","Zee Learn Limited","L&T Finance Limited","18-NOV-2020 to 18-NOV-2020","9602667",,"9602667","Reg29(1)","23-Nov-2020, 14-36"
"ZEEMEDIA","Zee Media Corporation Limited","L&T Infrastructure Finance Company Limited","18-NOV-2020 to 18-NOV-2020","12910000",,"12910000","Reg29(1)","23-Nov-2020, 14-34"
"ZEEMEDIA","Zee Media Corporation Limited","L&T Finance Limited","18-NOV-2020 to 18-NOV-2020","12488667",,"12488667","Reg29(1)","23-Nov-2020, 14-34"
"NCLIND","NCL Industries Limited","Ashven Datla","12-NOV-2020 to 12-NOV-2020","20000",,"1465724","Reg29(2)","23-Nov-2020, 14-32"
"SARDAEN","Sarda Energy & Minerals Limited","Kamal Kishore Sarda","07-SEP-2020 to 08-SEP-2020",,"1759149","564518","Reg29(2)","23-Nov-2020, 09-48"
"VIKASECO","Vikas EcoTech Limited","Vikas Garg","19-NOV-2020 to 19-NOV-2020",,"15500000","12344711","Reg29(2)","23-Nov-2020, 09-46"
"VIKASECO","Vikas EcoTech Limited","Nand Kishore Garg","19-NOV-2020 to 19-NOV-2020",,"950000","32775","Reg29(2)","23-Nov-2020, 09-46"
"VIKASECO","Vikas EcoTech Limited","Ketav Multicorp Private Limited","19-NOV-2020 to 19-NOV-2020",,"540000","23515","Reg29(2)","23-Nov-2020, 09-46"
"HSCL","Himadri Speciality Chemical Limited","SHYAM SUNDAR CHOUDHARY","17-NOV-2020 to 20-NOV-2020",,"3234280","0","Reg29(2)","22-Nov-2020, 14-20"
"HSCL","Himadri Speciality Chemical Limited","Sheela Devi choudhary","17-NOV-2020 to 20-NOV-2020",,"763420","0","Reg29(2)","22-Nov-2020, 14-20"
"HSCL","Himadri Speciality Chemical Limited","Sushila Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"850000","0","Reg29(2)","22-Nov-2020, 14-20"
"HSCL","Himadri Speciality Chemical Limited","Saroj Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"822850","0","Reg29(2)","22-Nov-2020, 14-20"
"HSCL","Himadri Speciality Chemical Limited","Himadri Credit and Finance Ltd","17-NOV-2020 to 20-NOV-2020",,"8002933","1484067","Reg29(2)","22-Nov-2020, 14-20"
"HSCL","Himadri Speciality Chemical Limited","Kanta Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"822850","0","Reg29(2)","22-Nov-2020, 14-20"
"TEAMLEASE","Teamlease Services Limited","NED Consultants LLP","18-NOV-2020 to 18-NOV-2020",,"40000","1413449","Reg29(2)","22-Nov-2020, 14-20"
"MAJESCO","Majesco Limited","RAJASTHAN GLOBAL SECURITIES PVT. LTD.","19-NOV-2020 to 19-NOV-2020","240000",,"2319302","Reg29(2)","22-Nov-2020, 14-18"
"HSCL","Himadri Speciality Chemical Limited","Himadri Credit and Finance Ltd","17-NOV-2020 to 20-NOV-2020",,"8002933","1484067","Reg29(2)","20-Nov-2020, 19-54"
"HSCL","Himadri Speciality Chemical Limited","Sheela Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"763420","0","Reg29(2)","20-Nov-2020, 19-54"
"HSCL","Himadri Speciality Chemical Limited","Sushila Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"850000","0","Reg29(2)","20-Nov-2020, 19-54"
"HSCL","Himadri Speciality Chemical Limited","SHYAM SUNDAR CHOUDHARY","17-NOV-2020 to 20-NOV-2020",,"3234280","0","Reg29(2)","20-Nov-2020, 19-54"
"HSCL","Himadri Speciality Chemical Limited","Kanta Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"822850","0","Reg29(2)","20-Nov-2020, 19-54"
"HSCL","Himadri Speciality Chemical Limited","Saroj Devi Choudhary","17-NOV-2020 to 20-NOV-2020",,"822850","0","Reg29(2)","20-Nov-2020, 19-54"
"PEARLPOLY","Pearl Polymers Limited","Nidhi Choudhari","17-NOV-2020 to 17-NOV-2020",,"1000","86000","Reg29(2)","20-Nov-2020, 19-48"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","19-NOV-2020 to 19-NOV-2020","5000",,"2435644","Reg29(2)","20-Nov-2020, 19-46"
"PALASHSECU","Palash Securities Limited","Sonali Commercial Limited","19-NOV-2020 to 19-NOV-2020","52",,"391647","Reg29(2)","20-Nov-2020, 19-42"
"SIGIND","Signet Industries Limited","Mukesh Sangla","20-NOV-2020 to 20-NOV-2020","21929",,"792937","Reg29(2)","20-Nov-2020, 19-42"
"RUSHIL","Rushil Decor Limited","Dinuben Ghanshyambhai Thakkar","15-OCT-2020 to 15-OCT-2020","108638",,"355154","Reg29(2)","20-Nov-2020, 19-40"
"RUSHIL","Rushil Decor Limited","Kruspeshbhai G Thakkar","15-OCT-2020 to 15-OCT-2020","875201",,"2861126","Reg29(2)","20-Nov-2020, 19-38"
"RUSHIL","Rushil Decor Limited","Krupaben Krupeshbhai Thakkar","15-OCT-2020 to 15-OCT-2020","124460",,"406875","Reg29(2)","20-Nov-2020, 19-36"
"RUSHIL","Rushil Decor Limited","Ghanshyambhai A Thakker","15-OCT-2020 to 15-OCT-2020","877398",,"2868298","Reg29(2)","20-Nov-2020, 19-36"
"RUSHIL","Rushil Decor Limited","Kruspeshbhai G Thakkar Karta of Krupesh G Thakkar HUF","15-OCT-2020 to 15-OCT-2020","612441",,"2002134","Reg29(2)","20-Nov-2020, 19-34"
"RUSHIL","Rushil Decor Limited","Rushil Krupeshbhai Thakkar","15-OCT-2020 to 15-OCT-2020","91896",,"300420","Reg29(2)","20-Nov-2020, 19-32"
"MANGCHEFER","Mangalore Chemicals & Fertilizers Limited","Zuari Global Limited","18-NOV-2020 to 18-NOV-2020","100000",,"100000","Reg29(2)","20-Nov-2020, 19-30"
"RUSHIL","Rushil Decor Limited","Kruspeshbhai G Thakkar and Ghanshyambhai A Thakkar Representing Rushil International along with PAC","15-OCT-2020 to 15-OCT-2020","813437",,"2659207","Reg29(2)","20-Nov-2020, 19-30"
"SITINET","Siti Networks Limited","Digital Satellite Holdings Private Limited","18-NOV-2020 to 18-NOV-2020",,"14400000","93816","Reg29(2)","20-Nov-2020, 19-00"
"SITINET","Siti Networks Limited","Direct Media Solutions LLP","18-NOV-2020 to 18-NOV-2020",,"756732","20443000","Reg29(2)","20-Nov-2020, 18-58"
"SITINET","Siti Networks Limited","Bioscope Cinemas Private Limited","18-NOV-2020 to 18-NOV-2020",,"42227000","10611","Reg29(2)","20-Nov-2020, 18-58"
"HFCL","HFCL Limited","MN Ventures Private Limited","20-NOV-2020 to 20-NOV-2020","500000",,"287640000","Reg29(2)","20-Nov-2020, 18-52"
"ZEELEARN","Zee Learn Limited","Asian Satellite Broadcast Private Limited","13-OCT-2020 to 18-NOV-2020",,"10462667","24888250","Reg29(2)","20-Nov-2020, 18-52"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","19-NOV-2020 to 19-NOV-2020","15217",,"24621233","Reg29(2)","20-Nov-2020, 18-50"
"ZEEMEDIA","Zee Media Corporation Limited","ARM Infra & Utilities Private Limited","18-NOV-2020 to 18-NOV-2020",,"12488667","42644436","Reg29(2)","20-Nov-2020, 18-50"
"LGBFORGE","LGB Forge Limited","Vijayshree Vijayakumar","19-NOV-2020 to 19-NOV-2020",,"50278","1280387","Reg29(2)","20-Nov-2020, 18-48"
"LGBFORGE","LGB Forge Limited","Vijayshree Vijayakumar","19-NOV-2020 to 19-NOV-2020",,"50278","1280387","Reg29(2)","20-Nov-2020, 18-48"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C. Gandhi HUF","19-NOV-2020 to 19-NOV-2020","1500",,"28500","Reg29(2)","20-Nov-2020, 18-46"
"VISAKAIND","Visaka Industries Limited","Dr. G. Vivekanand along with PAC","18-NOV-2020 to 18-NOV-2020","400000",,"7556182","Reg29(2)","20-Nov-2020, 18-46"
"FILATEX","Filatex India Limited","Nouvelle Securities Pvt Ltd","19-NOV-2020 to 19-NOV-2020","450000",,"11418450","Reg29(2)","20-Nov-2020, 18-44"
"MAHICKRA","Mahickra Chemicals Limited","ASHISHKUMAR CHAMPAKLAL GANDHI HUF","19-NOV-2020 to 19-NOV-2020","1500",,"24000","Reg29(2)","20-Nov-2020, 18-44"
"UPL","UPL Limited","Uniphos Enterprises Limited","17-NOV-2020 to 18-NOV-2020","35125",,"38888031","Reg29(2)","20-Nov-2020, 14-40"
"LGBFORGE","LGB Forge Limited","Vijayshree Vijayakumar","18-NOV-2020 to 18-NOV-2020",,"200000","1330665","Reg29(2)","20-Nov-2020, 14-38"
"TATACHEM","Tata Chemicals Limited","Life Insurance Corporation of India","08-JAN-2019 to 17-NOV-2020","5239510",,"18065664","Reg29(2)","20-Nov-2020, 14-36"
"ALMONDZ","Almondz Global Securities Limited","Navjeet Singh Sobti HUF","18-NOV-2020 to 18-NOV-2020","5871",,"5871","Reg29(2)","20-Nov-2020, 14-34"
"HFCL","HFCL Limited","MN Ventures Private Limited","19-NOV-2020 to 19-NOV-2020","1000000",,"287140000","Reg29(2)","20-Nov-2020, 08-34"
"BASML","Bannari Amman Spinning Mills Limited","Sakthi Murugan Transports Private Limited","19-NOV-2020 to 19-NOV-2020",,"779500","0","Reg29(2)","19-Nov-2020, 20-10"
"BASML","Bannari Amman Spinning Mills Limited","Murugan Enterprise Private Limited'","19-NOV-2020 to 19-NOV-2020","779500",,"8583233","Reg29(2)","19-Nov-2020, 20-10"
"MCLEODRUSS","Mcleod Russel India Limited","Vistra ITCL (India) Limited","08-JUL-2019 to 19-NOV-2020","2044670","3618034","2226636","Reg29(2)","19-Nov-2020, 20-08"
"BASML","Bannari Amman Spinning Mills Limited","Sakthi Murugan Transports Private Limited","19-NOV-2020 to 19-NOV-2020",,"779500","0","Reg29(2)","19-Nov-2020, 20-06"
"BASML","Bannari Amman Spinning Mills Limited","Murugan Enterprise Private Limited","19-NOV-2020 to 19-NOV-2020","779500",,"8583233","Reg29(2)","19-Nov-2020, 20-06"
"VIKASECO","Vikas EcoTech Limited","Nand Kishore Garg","13-NOV-2020 to 13-NOV-2020",,"3375000","982775","Reg29(2)","19-Nov-2020, 20-04"
"VIKASECO","Vikas EcoTech Limited","Ketav Multicorp Private Limited","13-NOV-2020 to 13-NOV-2020",,"5275000","563515","Reg29(2)","19-Nov-2020, 20-04"
"VIKASECO","Vikas EcoTech Limited","Vikas Multicorp Limited","13-NOV-2020 to 13-NOV-2020",,"750000","36163548","Reg29(2)","19-Nov-2020, 20-04"
"RITES","RITES Limited","President of India, Ministry of Railways, Government of India","18-NOV-2020 to 18-NOV-2020",,"6542401","173504773","Reg29(2)","19-Nov-2020, 18-16"
"UPL","UPL Limited","Uniphos Enterprises Limited","12-NOV-2020 to 12-NOV-2020","23375",,"38852906","Reg29(2)","19-Nov-2020, 18-14"
"TANLA","Tanla Platforms Limited","Banyan Investments Limited","17-NOV-2020 to 17-NOV-2020",,"15000000","6999824","Reg29(2)","19-Nov-2020, 09-18"
"GODFRYPHLP","Godfrey Phillips India Limited","K K Modi Investment And Financial Services Private Limited along with PAC","17-NOV-2020 to 18-NOV-2020","4454",,"24606016","Reg29(2)","18-Nov-2020, 23-58"
"HFCL","HFCL Limited","MN Ventures Private Limited","18-NOV-2020 to 18-NOV-2020","750000",,"286140000","Reg29(2)","18-Nov-2020, 23-54"
"LGBFORGE","LGB Forge Limited","Vijayshree Vijayakumar","17-NOV-2020 to 17-NOV-2020",,"25825","1530665","Reg29(2)","18-Nov-2020, 21-14"
"GREENPLY","Greenply Industries Limited","S. M. Management Private Limited","17-NOV-2020 to 18-NOV-2020","900",,"32926324","Reg29(2)","18-Nov-2020, 20-14"
"GREENPLY","Greenply Industries Limited","Rajesh Mittal & Sons, HUF","17-NOV-2020 to 18-NOV-2020","24000",,"122021","Reg29(2)","18-Nov-2020, 20-14"
"AIRAN","Airan Limited","Mrs Poonam Sandeep Agrawal and Sandeepkumar V Agrawal along with PAC","18-NOV-2020 to 18-NOV-2020","150000",,"92681213","Reg29(2)","18-Nov-2020, 20-12"
"PALASHSECU","Palash Securities Limited","Sonali Commercial Limited","17-NOV-2020 to 18-NOV-2020","3937",,"391595","Reg29(2)","18-Nov-2020, 20-10"
"AIRAN","Airan Limited","Mr Sandeepkumar V Agrawal and Mrs Poonam Sandeep Agrawal along with PAC","18-NOV-2020 to 18-NOV-2020","150000",,"92681213","Reg29(2)","18-Nov-2020, 20-08"
"BHAGERIA","Bhageria Industries Limited","Aditya V Bhageria","17-NOV-2020 to 17-NOV-2020","1000",,"65000","Reg29(2)","18-Nov-2020, 20-06"
"LGBFORGE","LGB Forge Limited","Vijayshree Vijayakumar","17-NOV-2020 to 17-NOV-2020",,"25825","1530665","Reg29(2)","18-Nov-2020, 19-30"
"NCLIND","NCL Industries Limited","K Pooja","13-NOV-2020 to 17-NOV-2020","27000",,"1417248","Reg29(2)","18-Nov-2020, 19-30"
"NCLIND","NCL Industries Limited","Vinodra V Goradia","13-NOV-2020 to 17-NOV-2020","5000",,"585702","Reg29(2)","18-Nov-2020, 19-30"
"MAHICKRA","Mahickra Chemicals Limited","MITESH C. GANDHI HUF","17-NOV-2020 to 17-NOV-2020","1500",,"27000","Reg29(2)","18-Nov-2020, 16-14"
"ZEELEARN","Zee Learn Limited","Sprit Infrapower & Multiventures Private Limited","12-NOV-2020 to 12-NOV-2020",,"6100000","3864","Reg29(2)","18-Nov-2020, 15-18"
"CHEMBOND","Chembond Chemicals Ltd","Sameer Vinod Shah","14-NOV-2020 to 14-NOV-2020","1000",,"1605461","Reg29(2)","18-Nov-2020, 15-16"
"NCLIND","NCL Industries Limited","Ravi Kalidindi","12-NOV-2020 to 12-NOV-2020","27476",,"2582021","Reg29(1)","18-Nov-2020, 15-16"
"SITINET","Siti Networks Limited","Direct Media & Cable Private Limited","12-NOV-2020 to 12-NOV-2020",,"85714285","0","Reg29(2)","18-Nov-2020, 15-16"
"ZEELEARN","Zee Learn Limited","Jayneer Infrapower and Multiventures Private Limited","12-NOV-2020 to 12-NOV-2020",,"6460000","27354227","Reg29(2)","18-Nov-2020, 15-16"
"PIONEEREMB","Pioneer Embroideries Limited","Pioneer E-Com Fashions LLP","14-NOV-2020 to 14-NOV-2020","1034766",,"5536492","Reg29(2)","18-Nov-2020, 14-12"
"BODALCHEM","Bodal Chemicals Limited","Shakuntala J. Patel","13-NOV-2020 to 13-NOV-2020","880000",,"6664740","Reg29(2)","18-Nov-2020, 14-10"
"INOXLEISUR","INOX Leisure Limited","ICICI Prudential Mutual Fund","13-NOV-2020 to 13-NOV-2020","3435324",,"7284415","Reg29(1)","18-Nov-2020, 14-10"
"AIRAN","Airan Limited","Abhishek Agrawal and Sandeepkumar Vishwanath Agrawal HUF and Sandeepkumar Vishwanath Agrawal and Poonam Agrawal","14-NOV-2020 to 14-NOV-2020","250000",,"92531213","Reg29(2)","18-Nov-2020, 06-00"
"AIRAN","Airan Limited","Abhilasha Sandeepkumar Agrawal along with PAC","14-NOV-2020 to 14-NOV-2020","250000",,"92531213","Reg29(2)","18-Nov-2020, 06-00"
"MANINDS","Man Industries (India) Limited","Man Finance Private Limited","09-NOV-2020 to 09-NOV-2020","3000000",,"3000000","Reg29(2)","18-Nov-2020, 06-00"
"AMJUMBO","A and M Jumbo Bags Limited","Varun Jigneshkumar Shah","12-NOV-2020 to 12-NOV-2020","440000",,"440000","Reg29(1)","17-Nov-2020, 23-58"
"BHAGERIA","Bhageria Industries Limited","Aditya V Bhageria","13-NOV-2020 to 13-NOV-2020","273",,"64000","Reg29(2)","17-Nov-2020, 23-58"
"HILTON","Hilton Metal Forging Limited","Yuvraj Malhotra","06-NOV-2020 to 06-NOV-2020",,"5575934","0","Reg29(2)","17-Nov-2020, 23-56"
"TFCILTD","Tourism Finance Corporation of India Limited","Merlin Holdings Pvt Ltd","14-AUG-2020 to 13-NOV-2020","101200","1209908","6214585","Reg29(2)","17-Nov-2020, 23-54"
"BETA","Beta Drugs Limited","Vijay Kumar Batra","14-NOV-2020 to 14-NOV-2020","6400",,"6314028","Reg29(2)","17-Nov-2020, 23-52"
"DBCORP","D.B.Corp Limited","Bhawna Agarwal","13-NOV-2020 to 13-NOV-2020","5000",,"263055","Reg29(2)","17-Nov-2020, 23-50"
"JAGRAN","Jagran Prakashan Limited","Mr Dhirendra Mohan Gupta","13-NOV-2020 to 13-NOV-2020","10000",,"259078","Reg29(2)","17-Nov-2020, 23-50"
"GENUSPOWER","Genus Power Infrastructures Limited","Monisha Agarwal","14-NOV-2020 to 14-NOV-2020","101",,"1590492","Reg29(2)","17-Nov-2020, 23-48"
"GENUSPAPER","Genus Paper & Boards Limited","Monisha Agarwal along with pac","14-NOV-2020 to 14-NOV-2020","11202",,"129823158","Reg29(2)","17-Nov-2020, 23-46"
"TFCILTD","Tourism Finance Corporation of India Limited","Merlin Holdings Pvt Ltd","14-AUG-2020 to 13-NOV-2020","101200","1209908","6214585","Reg29(2)","17-Nov-2020, 20-02"
"ZEEMEDIA","Zee Media Corporation Limited","25FPS Media Private Limited","12-NOV-2020 to 12-NOV-2020",,"12910000","42636279","Reg29(2)","17-Nov-2020, 19-54"
"GENUSPAPER","Genus Paper & Boards Limited","Simple Agarwal","14-NOV-2020 to 14-NOV-2020","11000",,"762020","Reg29(2)","17-Nov-2020, 19-52"
