symbol,company,anex,acqName,date,pid,tkdAcqm,buyValue,sellValue,buyQuantity,sellquantity,secType,secAcq,did,tdpTransactionType,tdpDerivativeContractType,xbrl,personCategory,befAcqSharesNo,befAcqSharesPer,secVal,securitiesTypePost,afterAcqSharesNo,afterAcqSharesPer,acqfromDt,acqtoDt,intimDt,acqMode,derivativeType,exchange,remarks
ADVENZYMES,Advanced Enzyme Technologies Limited,7(2),Anil Kumar Gupta,27-Nov-2020 19:50,1084810,,0,0,0,0,Equity Shares,5000,320529,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084810_367005_27112020075039_WEB.xml,Employees/Designated Employees,137149,0.12,1709506,Equity Shares,132149,0.12,27-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,BSE,-
ADVENZYMES,Advanced Enzyme Technologies Limited,7(2),Anil Kumar Gupta,27-Nov-2020 19:50,1084810,,0,0,0,0,Equity Shares,601,320527,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084810_367005_27112020075039_WEB.xml,Employees/Designated Employees,139250,0.12,205186,Equity Shares,138649,0.12,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,BSE,-
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Dhanarajan P,27-Nov-2020 19:50,1084809,,0,0,0,0,Equity Shares,3000,320526,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084809_367003_27112020075032_WEB.xml,Employees/Designated Employees,53450,0.01,1050212,Equity Shares,50450,0.01,24-Nov-2020,24-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,7(2),Babu V,27-Nov-2020 19:50,1084809,,0,0,0,0,Equity Shares,5000,320525,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084809_367003_27112020075032_WEB.xml,Employees/Designated Employees,9400,0,1735000,Equity Shares,4400,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
THEJO,Thejo Engineering Limited,7(2),SHIBU JOSEPH,27-Nov-2020 19:31,1084807,,0,0,0,0,Equity Shares,2000,320519,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084807_366998_27112020073126_WEB.xml,Employees/Designated Employees,Nil,0,307500,Equity Shares,2000,0.06,20-Oct-2020,20-Oct-2020,26-Nov-2020,ESOP,-,NA,-
THEJO,Thejo Engineering Limited,7(2),SHIBU JOSEPH,27-Nov-2020 19:31,1084807,,0,0,0,0,Equity Shares,600,320520,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084807_366998_27112020073126_WEB.xml,Employees/Designated Employees,2000,0.06,731200,Equity Shares,1400,0.04,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
ALLCARGO,Allcargo Logistics Limited,7(2),Capt. Sandeep Anand,27-Nov-2020 19:28,1084806,,0,0,0,0,Equity Shares,20000,320518,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084806_366995_27112020072810_WEB.xml,Key Managerial Personnel,20000,0.01,2500326,Equity Shares,Nil,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
MANGALAM,Mangalam Drugs And Organics Limited,7(2),Radhika A. Dhoot,27-Nov-2020 19:16,1084804,,0,0,0,0,Equity Shares,192300,320516,Pledge,-,https://archives.nseindia.com/corporate/xbrl/IT_1084804_366991_27112020071626_WEB.xml,Promoter Group,292500,1.85,12576420,Equity Shares,292500,1.85,24-Jul-2020,24-Jul-2020,27-Nov-2020,Pledge Creation,-,NA,-
MANGALAM,Mangalam Drugs And Organics Limited,7(2),Smita A. Dhoot,27-Nov-2020 19:16,1084804,,0,0,0,0,Equity Shares,192300,320515,Pledge,-,https://archives.nseindia.com/corporate/xbrl/IT_1084804_366991_27112020071626_WEB.xml,Promoter Group,292500,1.85,12576420,Equity Shares,292500,1.85,24-Jul-2020,24-Jul-2020,27-Nov-2020,Pledge Creation,-,NA,-
TECHM,Tech Mahindra Limited,7(2),RAMACHANDRAN SATYAMURTHI RAMACHANDR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,4000,320511,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,19758,0,3405997,Equity Shares,15758,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,Market Sale,-,BSE,-
TECHM,Tech Mahindra Limited,7(2),RAMACHANDRAN SATYAMURTHI RAMACHANDR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,4300,320512,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,15578,0,3716895,Equity Shares,11278,0,24-Nov-2020,24-Nov-2020,25-Nov-2020,Market Sale,-,BSE,-
TECHM,Tech Mahindra Limited,7(2),Deepak Aggarwal,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,100,320513,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,3800,0,84285,Equity Shares,3700,0,19-Nov-2020,19-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),Deepak Aggarwal,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,300,320514,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,6700,0,258311,Equity Shares,6400,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),RAKESH SONI,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,1250,320510,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,12500,0,1106549,Equity Shares,11250,0,24-Nov-2020,24-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),Harshvendra Soin,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,5000,320509,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,7450,0,4435000,Equity Shares,2450,0,24-Nov-2020,24-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),SOHIT BRAHMAWAR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,21840,320508,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,45238,0,18938338,Equity Shares,23398,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),SOHIT BRAHMAWAR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,21840,320507,Pledge Revoke,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,45238,0,17891472,Equity Shares,45238,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,Revokation of Pledge,-,NA,-
TECHM,Tech Mahindra Limited,7(2),SOHIT BRAHMAWAR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,5000,320506,Pledge,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,45238,0,4187500,Equity Shares,45238,0,11-Nov-2020,11-Nov-2020,25-Nov-2020,Pledge Creation,-,NA,-
TECHM,Tech Mahindra Limited,7(2),SOHIT BRAHMAWAR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,1000,320505,Pledge,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,45238,0,821300,Equity Shares,45238,0,10-Nov-2020,10-Nov-2020,25-Nov-2020,Pledge Creation,-,NA,-
TECHM,Tech Mahindra Limited,7(2),SOHIT BRAHMAWAR,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,39000,320504,Pledge,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,45238,0,31718700,Equity Shares,45238,0,30-Oct-2020,30-Oct-2020,25-Nov-2020,Pledge Creation,-,NA,-
TECHM,Tech Mahindra Limited,7(2),JACOB PAUL,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,7000,320503,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,22000,0,6120308,Equity Shares,15000,0,24-Nov-2020,24-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),Aloke Palsikar,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,200,320502,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,8890,0,177600,Equity Shares,8690,0,24-Nov-2020,24-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),ANIRUDDHA GADRE,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,750,320501,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,9950,0,657000,Equity Shares,9200,0,24-Nov-2020,24-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),Deepak Aggarwal,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,400,320499,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Employees/Designated Employees,6400,0,354000,Equity Shares,6000,0,24-Nov-2020,24-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
TECHM,Tech Mahindra Limited,7(2),Murlimanohar Nathmal Vyas,27-Nov-2020 19:15,1084803,,0,0,0,0,Equity Shares,4025,320500,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084803_366989_27112020071534_WEB.xml,Immediate relative,4093,0,3441375,Equity Shares,68,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
GANECOS,Ganesha Ecosphere Limited,7(2),Sandeep Khandelwal,27-Nov-2020 19:06,1084801,,0,0,0,0,Equity Shares,3799,320496,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084801_366985_27112020070655_WEB.xml,Promoter Group,166644,0.76,1184355,Equity Shares,170443,0.78,20-Nov-2020,26-Nov-2020,27-Nov-2020,Market Purchase,-,NSE,-
KARURVYSYA,Karur Vysya Bank Limited,7(2),M S SHRUTHI,27-Nov-2020 19:05,1084800,,0,0,0,0,Equity Shares,60000,320495,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084800_366983_27112020070544_WEB.xml,Promoter Group,109850,0.01,0,Equity Shares,49850,0.01,24-Nov-2020,24-Nov-2020,26-Nov-2020,Gift,-,NA,-
KARURVYSYA,Karur Vysya Bank Limited,7(2),S NIRUPAMA,27-Nov-2020 19:05,1084800,,0,0,0,0,Equity Shares,60000,320494,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084800_366983_27112020070544_WEB.xml,Promoter Group,485440,0.06,0,Equity Shares,545440,0.07,24-Nov-2020,24-Nov-2020,26-Nov-2020,Gift,-,NA,-
NOCIL,NOCIL Limited,7(2),R. M. Desai,27-Nov-2020 19:00,1084798,,0,0,0,0,Equity Shares,10000,320491,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084798_366979_27112020070001_WEB.xml,Employees/Designated Employees,50975,0.03,1423100,Equity Shares,40975,0.03,27-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
BERGEPAINT,Berger Paints (I) Limited,7(2),DIPANKAR NAG,27-Nov-2020 18:47,1084794,,0,0,0,0,Equity Shares,2000,320469,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084794_366975_27112020064707_WEB.xml,Employees/Designated Employees,8153,0,1272400,Equity Shares,6153,0,27-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,1000,320464,Pledge Revoke,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,34291,0,4740250,Equity Shares,34291,0,26-Nov-2020,26-Nov-2020,27-Nov-2020,Revokation of Pledge,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anurag Chottani,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,2000,320463,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,16500,0,9653000,Equity Shares,14500,0,26-Nov-2020,26-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri M M Muralidharan,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,100,320462,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,191601,0.03,483532,Equity Shares,191501,0.03,24-Nov-2020,24-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri M M Muralidharan,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,800,320461,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,191501,0.03,3866640,Equity Shares,190701,0.03,26-Nov-2020,26-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Soni,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,200,320459,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,1811,0,964778,Equity Shares,1611,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,1500,320458,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,35791,0,7114995,Equity Shares,34291,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,1500,320457,Pledge Revoke,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,35791,0,7114995,Equity Shares,35791,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Revokation of Pledge,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Manav Mianwal,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,1000,320456,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,4130,0,1919950,Equity Shares,5130,0,25-Nov-2020,25-Nov-2020,25-Nov-2020,ESOP,-,NA,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Manav Mianwal,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,1000,320455,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,5130,0,4702070,Equity Shares,4130,0,25-Nov-2020,25-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Bimal Rameshchandra Desai,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,1000,320465,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,34291,0,4740250,Equity Shares,33291,0,26-Nov-2020,26-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
BAJFINANCE,Bajaj Finance Limited,7(2),Shri Anand Soni,27-Nov-2020 18:43,1084791,,0,0,0,0,Equity Shares,200,320460,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084791_366972_27112020064306_WEB.xml,Employees/Designated Employees,2011,0,948402,Equity Shares,1811,0,20-Nov-2020,20-Nov-2020,25-Nov-2020,Market Sale,-,NSE,-
HDFCLIFE,HDFC Life Insurance Company Limited,7(2),BETSY DMELLO,27-Nov-2020 18:37,1084790,,0,0,0,0,Equity Shares,400,320453,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084790_366968_27112020063700_WEB.xml,Employees/Designated Employees,2500,0,268400,Equity Shares,2100,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
HDFCLIFE,HDFC Life Insurance Company Limited,7(2),BETSY DMELLO,27-Nov-2020 18:37,1084790,,0,0,0,0,Equity Shares,400,320454,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084790_366968_27112020063700_WEB.xml,Employees/Designated Employees,2100,0,268400,Equity Shares,1700,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
HDFCLIFE,HDFC Life Insurance Company Limited,7(2),BETSY DMELLO,27-Nov-2020 18:37,1084790,,0,0,0,0,Equity Shares,800,320452,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084790_366968_27112020063700_WEB.xml,Employees/Designated Employees,3300,0,530664,Equity Shares,2500,0,24-Nov-2020,24-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
HDFCLIFE,HDFC Life Insurance Company Limited,7(2),KHUSHRU SIDHWA,27-Nov-2020 18:37,1084790,,0,0,0,0,Equity Shares,7000,320451,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084790_366968_27112020063700_WEB.xml,Employees/Designated Employees,214720,0.01,4804660,Equity Shares,207720,0.01,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
HDFCLIFE,HDFC Life Insurance Company Limited,7(2),SANJAY VIJ,27-Nov-2020 18:37,1084790,,0,0,0,0,Equity Shares,2500,320450,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084790_366968_27112020063700_WEB.xml,Employees/Designated Employees,339581,0.02,1700000,Equity Shares,337081,0.02,25-Nov-2020,25-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
NAUKRI,Info Edge (India) Limited,7(2),Surbhi Aggarwal,27-Nov-2020 18:34,1084788,,0,0,0,0,Equity Shares,400,320444,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084788_366964_27112020063408_WEB.xml,Immediate relative,8600,0.01,1705548,Equity Shares,8200,0.01,26-Nov-2020,27-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
LTI,Larsen & Toubro Infotech Limited,7(2),A M Naik,27-Nov-2020 18:33,1084787,,0,0,0,0,Equity Shares,600000,320443,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084787_366962_27112020063351_WEB.xml,Director,700000,0.4,2001570000,Equity Shares,100000,0.06,24-Nov-2020,24-Nov-2020,26-Nov-2020,Gift,-,NA,-
NEWGEN,Newgen Software Technologies Limited,7(2),NEWGEN ESOP TRUST,27-Nov-2020 18:27,1084785,,0,0,0,0,Equity Shares,17780,320441,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084785_366958_27112020062752_WEB.xml,Other,717091,1.03,4798822,Equity Shares,699311,1,27-Nov-2020,27-Nov-2020,27-Nov-2020,ESOP,-,NA,-
PKTEA,The Peria Karamalai Tea & Produce Company Limited,7(2),PLACID LIMITED,27-Nov-2020 18:24,1084783,,0,0,0,0,Equity Shares,5748,320439,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084783_366954_27112020062419_WEB.xml,Promoter Group,749032,24.19,1209720,Equity Shares,754780,24.38,23-Nov-2020,25-Nov-2020,27-Nov-2020,Market Purchase,-,NSE,-
STLTECH,Sterlite Technologies Limited,7(2),Nischal Gupta,27-Nov-2020 18:16,1084781,,0,0,0,0,Equity Shares,10000,320437,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084781_366951_27112020061630_WEB.xml,Employees/Designated Employees,10001,0,1518341,Equity Shares,1,0,26-Nov-2020,26-Nov-2020,27-Nov-2020,Market Sale,-,NSE,-
HDFC,Housing Development Finance Corporation Limited,7(2),PRAVEEN R SIKCHI,27-Nov-2020 18:13,1084779,,0,0,0,0,Equity Shares,34000,320431,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084779_366947_27112020061310_WEB.xml,Employees/Designated Employees,24854,0,53374900,Equity Shares,58854,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,ESOP,-,NA,-
HDFC,Housing Development Finance Corporation Limited,7(2),NAIK SAMIR,27-Nov-2020 18:13,1084779,,0,0,0,0,Equity Shares,7000,320433,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084779_366947_27112020061310_WEB.xml,Employees/Designated Employees,5,0,10988950,Equity Shares,7005,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,ESOP,-,NA,-
HDFC,Housing Development Finance Corporation Limited,7(2),GUPTA DIPTA BHANU,27-Nov-2020 18:13,1084779,,0,0,0,0,Equity Shares,82000,320432,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084779_366947_27112020061310_WEB.xml,Employees/Designated Employees,146700,0.01,128727700,Equity Shares,228700,0.01,25-Nov-2020,25-Nov-2020,26-Nov-2020,ESOP,-,NA,-
HDFC,Housing Development Finance Corporation Limited,7(2),AGARWAL AJAY,27-Nov-2020 18:13,1084779,,0,0,0,0,Equity Shares,700,320435,Sell,-,https://archives.nseindia.com/corporate/xbrl/IT_1084779_366947_27112020061310_WEB.xml,Key Managerial Personnel,47810,0,1568700,Equity Shares,47110,0,26-Nov-2020,26-Nov-2020,26-Nov-2020,Market Sale,-,NSE,-
HDFC,Housing Development Finance Corporation Limited,7(2),GOEL VIKRAM,27-Nov-2020 18:13,1084779,,0,0,0,0,Equity Shares,4000,320434,Pledge Revoke,-,https://archives.nseindia.com/corporate/xbrl/IT_1084779_366947_27112020061310_WEB.xml,Employees/Designated Employees,16000,0,8765400,Equity Shares,16000,0,25-Nov-2020,25-Nov-2020,26-Nov-2020,Revokation of Pledge,-,NA,-
ICICIBANK,ICICI Bank Limited,7(2),B V RAMANA REDDY,27-Nov-2020 18:09,1084777,,0,0,0,0,Equity Shares,33240,320424,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084777_366944_27112020060950_WEB.xml,Employees/Designated Employees,Nil,0,8989346,Equity Shares,33240,0,26-Nov-2020,26-Nov-2020,27-Nov-2020,ESOP,-,NA,-
ICICIBANK,ICICI Bank Limited,7(2),A R SATISH KUMAR,27-Nov-2020 18:09,1084777,,0,0,0,0,Equity Shares,10000,320425,Buy,-,https://archives.nseindia.com/corporate/xbrl/IT_1084777_366944_27112020060950_WEB.xml,Employees/Designated Employees,Nil,0,2383225,Equity Shares,10000,0,23-Nov-2020,23-Nov-2020,25-Nov-2020,ESOP,-,NA,-
