,comName,shp,totIssuedShares,totPromoterHolding,percPromoterHolding,totPublicHolding,totPromoterShares,percPromoterShares,percTotShares,disclosureFromDate,numSharesPledged,totDematShares,sharesCollateral,nbfcPromoShare,nbfcNonPromoShare,percSharesPledged,broadcastDt,disclosureToDate,compBroadcastDate
372,SJVN Limited,30-Sep-2020,3929795175,3409816933,    86.77,519978242,0,     0.00,     0.00,,21387304,3929792490,0,0,0,0.54,23-Nov-2020 11:30:27,,
373,Jaypee Infratech Limited,30-Sep-2020,1388933497,847000000,    60.98,541933497,708356087,    83.63,    51.00,,729369642,1388795214,0,0,0,52.52,23-Nov-2020 11:30:27,,19-12-2017
374,Gujarat NRE Coke Limited,30-Jun-2018,52488010,17501468,    33.34,34986542,17501468,   100.00,    33.34,,17890043,52186412,0,0,0,34.28,23-Nov-2020 11:30:27,,31-07-2013
375,Sundaram Multi Pap Limited,30-Sep-2020,473877773,147139585,    31.05,326738188,3272000,     2.22,     0.69,,20129752,473059379,0,0,0,4.26,23-Nov-2020 11:30:27,,26-06-2018
376,Rainbow Papers Limited,31-Dec-2018,106217300,14197680,    13.37,92019620,4850000,    34.16,     4.57,,4661099,105284895,0,0,0,4.43,23-Nov-2020 11:30:27,,31-10-2014
377,Pioneer Distilleries Limited,30-Sep-2020,13388200,10041150,    75.00,3347050,0,     0.00,     0.00,,281415,13156507,0,0,0,2.14,23-Nov-2020 11:30:27,,09-03-2016
378,Kirloskar Industries Limited,30-Sep-2020,9708619,7098178,    73.11,2610441,0,     0.00,     0.00,,64503,9597174,0,0,0,0.67,23-Nov-2020 11:30:27,,
379,Manappuram Finance Limited,30-Sep-2020,846147490,296156139,    35.00,549991351,2288000,     0.77,     0.27,,14054258,842093462,0,0,0,1.67,23-Nov-2020 11:30:27,,30-10-2018
380,Parabolic Drugs Limited,30-Sep-2020,61892014,23389727,    37.79,38502287,22619927,    96.71,    36.55,,23403713,59677780,0,0,0,39.22,23-Nov-2020 11:30:27,,30-08-2013
381,Usha Martin Education & Solutions Limited,30-Sep-2020,26415811,11328540,    42.89,15087271,0,     0.00,     0.00,,344684,25830810,0,0,0,1.33,23-Nov-2020 11:30:27,,
382,Technofab Engineering Limited,30-Sep-2020,10490000,5058026,    48.22,5431974,1221405,    24.15,    11.64,,1258963,10489993,0,0,0,12,23-Nov-2020 11:30:27,,25-10-2017
383,Tilaknagar Industries Limited,30-Sep-2020,125133765,68571668,    54.80,56562097,62550000,    91.22,    49.99,,65758361,124035544,0,0,0,53.02,23-Nov-2020 11:30:27,,30-09-2015
384,Hindustan Media Ventures Limited,30-Sep-2020,73671548,55038643,    74.71,18632905,0,     0.00,     0.00,,277559,73668736,0,0,0,0.38,23-Nov-2020 11:30:27,,
385,Indian Metals & Ferro Alloys Limited,30-Sep-2020,26977053,15831856,    58.69,11145197,0,     0.00,     0.00,,1074391,24971908,0,0,0,4.3,23-Nov-2020 11:30:27,,10-09-2014
386,Bliss GVS Pharma Limited,30-Sep-2020,103146672,42907046,    41.60,60239626,140000,     0.33,     0.14,,6529786,100933233,0,0,0,6.47,23-Nov-2020 11:30:27,,13-11-2020
387,Asian Hotels (East) Limited,30-Sep-2020,11527797,7566120,    65.63,3961677,0,     0.00,     0.00,,829029,11347675,0,0,0,7.31,23-Nov-2020 11:30:27,,
388,Industrial Investment Trust Limited,30-Sep-2020,22547550,17209617,    76.33,5337933,0,     0.00,     0.00,,1001051,22132930,0,0,0,4.52,23-Nov-2020 11:30:27,,
389,Bajaj Consumer Care Limited,30-Sep-2020,147540159,56125000,    38.04,91415159,0,     0.00,     0.00,,2598901,147537683,0,0,0,1.76,23-Nov-2020 11:30:27,,30-11-2016
390,Parenteral Drugs (India) Limited,30-Sep-2020,29816300,21849243,    73.28,7967057,21849243,   100.00,    73.28,,20809115,29386589,0,0,0,70.81,23-Nov-2020 11:30:27,30-Sep-2020,30-12-2014
391,Astec LifeSciences Limited,30-Sep-2020,19578355,13697003,    69.96,5881352,0,     0.00,     0.00,,1673816,19577849,0,0,0,8.55,23-Nov-2020 11:30:27,,30-10-2014
392,Shilpa Medicare Limited,30-Sep-2020,81526898,43409715,    53.25,38117183,350000,     0.81,     0.43,,3109529,81180274,0,0,0,3.83,23-Nov-2020 11:30:27,,31-10-2019
393,Sarda Energy & Minerals Limited,30-Sep-2020,36049235,26134360,    72.50,9914875,0,     0.00,     0.00,,1019804,35763554,0,0,0,2.85,23-Nov-2020 11:30:27,,
394,Refex Industries Limited,30-Sep-2020,21002024,10442524,    49.72,10559500,150000,     1.44,     0.71,,594548,21000757,0,0,0,2.83,23-Nov-2020 11:30:27,,14-01-2019
395,Arshiya Limited,30-Sep-2020,258075915,126916225,    49.18,131159690,126916225,   100.00,    49.18,,131650751,257555039,0,0,0,51.12,23-Nov-2020 11:30:27,,27-01-2016
396,Gillanders Arbuthnot & Company Limited,30-Sep-2020,21342346,14671715,    68.74,6670631,0,     0.00,     0.00,,401657,20916073,0,0,0,1.92,23-Nov-2020 11:30:27,,
397,Ahluwalia Contracts (India) Limited,30-Sep-2020,66987560,38855977,    58.00,28131583,15865380,    40.83,    23.68,,16112993,66922895,0,0,0,24.08,23-Nov-2020 11:30:27,,30-06-2014
398,D-Link (India) Limited,30-Sep-2020,35504850,18114663,    51.02,17390187,0,     0.00,     0.00,,1546883,35487490,0,0,0,4.36,23-Nov-2020 11:30:27,,
399,D.B.Corp Limited,30-Sep-2020,174954540,125584493,    71.78,49370047,46325000,    36.89,    26.48,,48097844,174954212,0,0,0,27.49,23-Nov-2020 11:30:27,,31-12-2014
400,Kiri Industries Limited,30-Sep-2020,33620646,14215878,    42.28,19404768,59573,     0.42,     0.18,,2042191,33583591,0,0,0,6.08,23-Nov-2020 11:30:26,,30-04-2015
401,Vijay Shanthi Builders Limited,30-Sep-2019,26188670,10003199,    38.20,16185471,0,     0.00,     0.00,,112698,24780912,0,0,0,0.45,23-Nov-2020 11:30:26,,
402,Bajaj Finserv Limited,30-Sep-2020,159137444,97056868,    60.99,62080576,10036,     0.01,     0.01,,1401047,149811386,0,0,0,0.94,23-Nov-2020 11:30:26,,14-07-2020
403,Bajaj Auto Limited,30-Sep-2020,289367020,155374904,    53.69,133992116,13822,     0.01,     0.00,,2177904,272307481,0,0,0,0.8,23-Nov-2020 11:30:26,,26-03-2015
404,DiGiSPICE Technologies Limited,30-Sep-2020,227902065,169447570,    74.35,58454495,0,     0.00,     0.00,,498305,226781086,0,0,0,0.22,23-Nov-2020 11:30:26,,
405,Surana Corporation Limited,31-Mar-2018,24358734,12248026,    50.28,12110708,12216713,    99.74,    50.15,,12258630,20102568,0,0,0,60.98,23-Nov-2020 11:30:26,,22-07-2015
406,Gokul Refoils and Solvent Limited,30-Sep-2020,131895000,71223772,    54.00,60671228,0,     0.00,     0.00,,4731823,98989585,0,0,0,4.78,23-Nov-2020 11:30:26,,16-11-2017
407,RPG Life Sciences Limited,30-Sep-2020,16539015,11919219,    72.07,4619796,0,     0.00,     0.00,,742128,16283285,0,0,0,4.56,23-Nov-2020 11:30:26,,
408,Almondz Global Securities Limited,30-Sep-2020,25884967,14915549,    57.62,10969418,0,     0.00,     0.00,,258590,25752179,0,0,0,1,23-Nov-2020 11:30:26,,
409,Rane Brake Lining Limited,30-Sep-2020,7914980,5302539,    66.99,2612441,0,     0.00,     0.00,,77437,7798957,0,0,0,0.99,23-Nov-2020 11:30:26,,
410,Rane Engine Valve Limited,30-Sep-2020,6718992,3684928,    54.84,3034064,0,     0.00,     0.00,,27716,6560725,0,0,0,0.42,23-Nov-2020 11:30:26,,
411,MVL Limited,31-Mar-2019,601243200,334210787,    55.59,267032413,102348420,    30.62,    17.02,,92644995,600396604,0,0,0,15.43,23-Nov-2020 11:30:26,,
412,Metkore Alloys & Industries Limited,31-Dec-2018,70426475,40298483,    57.22,30127992,,,,,116529,68222890,0,0,0,0.17,23-Nov-2020 11:30:26,,22-09-2016
413,Archidply Industries Limited,30-Sep-2020,22065000,16034645,    72.67,6030355,0,     0.00,     0.00,,342815,21994825,0,0,0,1.56,23-Nov-2020 11:30:26,,
414,Lotus Eye Hospital and Institute Limited,30-Sep-2020,20796330,11995057,    57.68,8801273,0,     0.00,     0.00,,173113,20795423,0,0,0,0.83,23-Nov-2020 11:30:26,,
415,KSK Energy Ventures Limited,30-Sep-2020,423985774,108551071,    25.60,315434703,96346490,    88.76,    22.72,,101179132,423985601,0,0,0,23.86,23-Nov-2020 11:30:26,,31-03-2017
416,Vinyl Chemicals (India) Limited,30-Sep-2020,18337111,9282161,    50.62,9054950,0,     0.00,     0.00,,274382,17540294,0,0,0,1.56,23-Nov-2020 11:30:26,,
417,United Breweries Limited,30-Sep-2020,264405149,152616785,    57.72,111788364,27781574,    18.20,    10.51,,28248098,262953627,0,0,0,10.74,23-Nov-2020 11:30:26,,30-11-2015
418,OCL Iron and Steel Limited,30-Sep-2020,134143160,51494284,    38.39,82648876,0,     0.00,     0.00,,1490291,130869970,0,0,0,1.14,23-Nov-2020 11:30:26,,20-03-2015
419,LGB Forge Limited,30-Sep-2020,238202463,178408560,    74.90,59793903,0,     0.00,     0.00,,1004267,236027853,0,0,0,0.43,23-Nov-2020 11:30:26,,
420,Landmark Property Development Company Limited,30-Sep-2020,134143160,87401268,    65.16,46741892,0,     0.00,     0.00,,442794,131637487,0,0,0,0.34,23-Nov-2020 11:30:26,,
421,Sicagen India Limited,30-Sep-2020,39571684,16536392,    41.79,23035292,0,     0.00,     0.00,,745231,38303201,0,0,0,1.95,23-Nov-2020 11:30:26,,
422,Nu Tek India Limited,31-Dec-2018,154518600,14694204,     9.51,139824396,,,,,1135722,153610685,0,0,0,0.74,23-Nov-2020 11:30:26,,
423,Austral Coke & Projects Limited,30-Jun-2017,290296040,60573004,    20.87,229723036,0,     0.00,     0.00,,2090322,290289471,0,0,0,0.72,23-Nov-2020 11:30:26,,
424,WABCO India Limited,30-Sep-2020,18967584,17660459,    93.11,1307125,,,,,45532,18861572,0,0,0,0.24,23-Nov-2020 11:30:26,,
425,20 Microns Limited,30-Sep-2020,35286502,15819019,    44.83,19467483,8500547,    53.74,    24.09,,10839286,35157864,0,0,0,30.83,23-Nov-2020 11:30:26,,31-03-2015
426,Jocil Limited,30-Sep-2020,8881150,4886500,    55.02,3994650,0,     0.00,     0.00,,912202,8025877,0,0,0,11.37,23-Nov-2020 11:30:26,,
427,Tata Motors Limited,30-Sep-2020,508502896,36800118,     7.24,471702778,0,     0.00,     0.00,,36345547,508372596,0,0,0,7.15,23-Nov-2020 11:30:26,,28-01-2015
428,Alkali Metals Limited,30-Sep-2020,10182506,7090842,    69.64,3091664,2130000,    30.04,    20.92,,2215057,10181996,0,0,0,21.75,23-Nov-2020 11:30:26,,
429,JIK Industries Limited,30-Sep-2020,72640951,35635697,    49.06,37005254,0,     0.00,     0.00,,426590,55503839,0,0,0,0.77,23-Nov-2020 11:30:26,,27-12-2016
430,Country Condo's Limited,30-Sep-2020,77597300,41946222,    54.06,35651078,0,     0.00,     0.00,,430141,70753296,0,0,0,0.61,23-Nov-2020 11:30:26,,
431,GI Engineering Solutions Limited,30-Sep-2020,8611878,3395177,    39.42,5216701,0,     0.00,     0.00,,22973,8585248,0,0,0,0.27,23-Nov-2020 11:30:26,,
432,Future Enterprises Limited,30-Sep-2020,39374679,28436580,    72.22,10938099,0,     0.00,     0.00,,455570,39318642,0,0,0,1.16,23-Nov-2020 11:30:26,,31-12-2019
433,Mawana Sugars Limited,30-Sep-2020,39116864,24835976,    63.49,14280888,1000000,     4.03,     2.56,,1859994,38616185,0,0,0,4.82,23-Nov-2020 11:30:26,,
434,Harita Seating Systems Limited,30-Sep-2020,7769040,5144962,    66.22,2624078,0,     0.00,     0.00,,81110,7599899,0,0,0,1.07,23-Nov-2020 11:30:26,,
435,Hindusthan National Glass & Industries Limited,30-Sep-2020,89553565,63338840,    70.73,26214725,61123840,    96.50,    68.25,,71842900,89549009,0,0,0,80.23,23-Nov-2020 11:30:26,,23-07-2015
436,Ajmera Realty & Infra India Limited,30-Sep-2020,35484875,24111527,    67.95,11373348,1953900,     8.10,     5.51,,2805416,35439232,0,0,0,7.92,23-Nov-2020 11:30:26,,24-09-2014
437,Mahindra Holidays & Resorts India Limited,30-Sep-2020,133553784,90520655,    67.78,43033129,0,     0.00,     0.00,,3327411,133541408,0,0,0,2.49,23-Nov-2020 11:30:26,,
438,GKW Limited,30-Sep-2020,5966500,4474875,    75.00,1491625,0,     0.00,     0.00,,54782,5854050,0,0,0,0.94,23-Nov-2020 11:30:26,,
439,Vinati Organics Limited,30-Sep-2020,102782050,76121192,    74.06,26660858,0,     0.00,     0.00,,763746,101386040,0,0,0,0.75,23-Nov-2020 11:30:26,,
440,Excel Realty N Infra Limited,30-Sep-2020,94046337,46687206,    49.64,47359131,0,     0.00,     0.00,,2803006,93815901,0,0,0,2.99,23-Nov-2020 11:30:26,,09-07-2014
441,Adani Power Limited,30-Sep-2020,3856938941,2891612567,    74.97,965326374,869008587,    30.05,    22.53,,462470001,3856428537,0,0,0,11.99,23-Nov-2020 11:30:26,,31-12-2018
442,NHPC Limited,30-Sep-2020,10045034805,7126772676,    70.95,2918262129,0,     0.00,     0.00,,52425156,10044769962,0,0,0,0.52,23-Nov-2020 11:30:26,,
443,Jindal Cotex Limited,30-Sep-2020,45003140,9473399,    21.05,35529741,8896178,    93.91,    19.77,,13951422,45003115,0,0,0,31,23-Nov-2020 11:30:26,,31-01-2018
444,Globus Spirits Limited,30-Sep-2020,28799268,16093363,    55.88,12705905,0,     0.00,     0.00,,810868,28797319,0,0,0,2.82,23-Nov-2020 11:30:26,,
445,Oil India Limited,30-Sep-2020,1084405194,614376660,    56.66,470028534,0,     0.00,     0.00,,5770190,1081198680,0,0,0,0.53,23-Nov-2020 11:30:26,,
446,Reliance Naval and Engineering Limited,30-Sep-2020,737591263,0,     0.00,737591263,0,,     0.00,,18291867,737565439,0,0,0,2.48,23-Nov-2020 11:30:26,,30-09-2013
447,Euro Multivision Limited,30-Sep-2020,23800049,11187563,    47.01,12612486,0,     0.00,     0.00,,41415,23799859,0,0,0,0.17,23-Nov-2020 11:30:26,,
448,Expleo Solutions Limited,30-Sep-2020,10252485,5758804,    56.17,4493681,0,     0.00,     0.00,,207964,10252481,0,0,0,2.03,23-Nov-2020 11:30:26,,
449,RattanIndia Power Limited,30-Sep-2020,4939781691,1942900000,    39.33,2996881691,1674325277,    86.18,    33.89,,1923380125,4939754976,0,0,0,38.94,23-Nov-2020 11:30:26,,30-04-2018
450,Amrutanjan Health Care Limited,30-Sep-2020,29230630,14622110,    50.02,14608520,0,     0.00,     0.00,,555111,28025663,0,0,0,1.98,23-Nov-2020 11:30:26,,
451,Jumbo Bag Limited,30-Sep-2014,8373700,3636797,    43.43,4736903,0,     0.00,     0.00,,100,1977602,0,0,0,0.01,23-Nov-2020 11:30:26,,
452,Sunteck Realty Limited,30-Sep-2020,146371879,98306095,    67.16,48065784,0,     0.00,     0.00,,2162851,146371869,0,0,0,1.48,23-Nov-2020 11:30:26,,
453,Zydus Wellness Limited,30-Sep-2020,63632144,41246139,    64.82,22386005,0,     0.00,     0.00,,7422527,63428059,0,0,0,11.7,23-Nov-2020 11:30:26,,
454,Den Networks Limited,30-Sep-2020,477223845,413402931,    86.63,63820914,,,,,669757,477029698,0,0,0,0.14,23-Nov-2020 11:30:26,,31-01-2018
455,REC Limited,30-Sep-2020,1974918000,1039495247,    52.63,935422753,0,     0.00,     0.00,,23923124,1974882162,0,0,0,1.21,23-Nov-2020 11:30:26,,
456,Ballarpur Industries Limited,30-Sep-2020,1293455756,34614158,     2.68,1258841598,33292510,    96.18,     2.57,,49815751,1285535141,0,0,0,3.88,23-Nov-2020 11:30:26,,24-06-2015
457,Dhani Services Limited,30-Sep-2020,601624010,193349103,    32.14,408274907,0,     0.00,     0.00,,28629519,527101150,0,0,0,5.43,23-Nov-2020 11:30:26,,
458,Gammon Infrastructure Projects Limited,30-Sep-2020,941830724,193999800,    20.60,747830924,193999800,   100.00,    20.60,,215875549,941828121,0,0,0,22.92,23-Nov-2020 11:30:26,,31-10-2017
459,Sita Shree Food Products Limited,31-Dec-2018,27834174,6370929,    22.89,21463245,6050516,    94.97,    21.74,,6324739,26681676,0,0,0,23.7,23-Nov-2020 11:30:26,,
460,Nesco Limited,30-Sep-2020,70459960,48288483,    68.53,22171477,0,     0.00,     0.00,,1012496,68939700,0,0,0,1.47,23-Nov-2020 11:30:26,,
461,DPSC Limited,30-Sep-2020,973789640,579331667,    59.49,394457973,389515856,    67.24,    40.00,,390646387,970714342,0,0,0,40.24,23-Nov-2020 11:30:26,,
462,Titagarh Wagons Limited,30-Sep-2020,115606170,52836540,    45.70,62769630,0,     0.00,     0.00,,5114203,115497750,0,0,0,4.43,23-Nov-2020 11:30:26,,
463,Magnum Ventures Limited,30-Sep-2020,37601884,19960700,    53.08,17641184,13972490,    70.00,    37.16,,14881242,37601875,0,0,0,39.58,23-Nov-2020 11:30:25,,
464,Manaksia Limited,30-Sep-2020,65534050,49105940,    74.93,16428110,0,     0.00,     0.00,,1093662,65533741,0,0,0,1.67,23-Nov-2020 11:30:25,,
465,Centum Electronics Limited,30-Sep-2020,12884781,7576478,    58.80,5308303,0,     0.00,     0.00,,208701,12775461,0,0,0,1.63,23-Nov-2020 11:30:25,,
466,Power Grid Corporation of India Limited,30-Sep-2020,5231589648,2685872408,    51.34,2545717240,0,     0.00,     0.00,,6873293,5231559349,0,0,0,0.13,23-Nov-2020 11:30:25,,
467,Consolidated Construction Consortium Limited,30-Sep-2020,398511188,61828103,    15.51,336683085,47113476,    76.20,    11.82,,49071895,398161532,0,0,0,12.32,23-Nov-2020 11:30:25,,24-05-2017
468,Supreme Infrastructure India Limited,30-Sep-2020,25698372,8913074,    34.68,16785298,7565005,    84.88,    29.44,,8370041,25698361,0,0,0,32.57,23-Nov-2020 11:30:25,,29-07-2015
469,Mangalore Chemicals & Fertilizers Limited,30-Sep-2020,118515150,70720268,    59.67,47794882,64028362,    90.54,    54.03,,69417652,115636868,0,0,0,60.03,23-Nov-2020 11:30:25,,30-03-2020
470,Maan Aluminium Limited,30-Sep-2020,6760608,4415700,    65.32,2344908,0,     0.00,     0.00,,43297,6666033,0,0,0,0.65,23-Nov-2020 11:30:25,,
471,IL&FS Engineering and Construction Company Limited,30-Sep-2020,131121078,55400884,    42.25,75720194,0,     0.00,     0.00,,928272,128307847,0,0,0,0.72,23-Nov-2020 11:30:25,,28-11-2014
472,Delta Corp Limited,30-Sep-2020,266877759,88797440,    33.27,178080319,10000000,    11.26,     3.75,,40167467,265179497,0,0,0,15.15,23-Nov-2020 11:30:25,,31-05-2017
473,Bajaj Electricals Limited,30-Sep-2020,113862614,71870858,    63.12,41991756,0,     0.00,     0.00,,371099,112237654,0,0,0,0.33,23-Nov-2020 11:30:25,30-Sep-2020,07-07-2020
474,Energy Development Company Limited,30-Sep-2020,47500000,27616041,    58.14,19883959,0,     0.00,     0.00,,1056537,47472394,0,0,0,2.23,23-Nov-2020 11:30:25,,
475,Dhunseri Ventures Limited,30-Sep-2020,35024754,26268000,    75.00,8756754,0,     0.00,     0.00,,210394,34832575,0,0,0,0.6,23-Nov-2020 11:30:25,,
476,Patel Integrated Logistics Limited,30-Sep-2020,16535923,5984908,    36.19,10551015,0,     0.00,     0.00,,389632,16037067,0,0,0,2.43,23-Nov-2020 11:30:25,,31-08-2020
477,PPAP Automotive Limited,30-Sep-2020,14000000,9032397,    64.52,4967603,0,     0.00,     0.00,,431175,13774860,0,0,0,3.13,23-Nov-2020 11:30:25,,
478,Aries Agro Limited,30-Sep-2020,13004339,6847926,    52.66,6156413,0,     0.00,     0.00,,329721,12899338,0,0,0,2.56,23-Nov-2020 11:30:25,,
479,Ambika Cotton Mills Limited,30-Sep-2020,5725000,2872350,    50.17,2852650,0,     0.00,     0.00,,130834,5691981,0,0,0,2.3,23-Nov-2020 11:30:25,,
480,Kavveri Telecom Products Limited,30-Sep-2020,20124260,3045931,    15.14,17078329,1050000,    34.47,     5.22,,1065346,20052898,0,0,0,5.31,23-Nov-2020 11:30:25,,
481,CEAT Limited,30-Sep-2020,40450092,18940298,    46.82,21509794,0,     0.00,     0.00,,521730,40027583,0,0,0,1.3,23-Nov-2020 11:30:25,,
482,Aditya Birla Money Limited,30-Sep-2020,56301357,41550000,    73.80,14751357,0,     0.00,     0.00,,796912,55355111,0,0,0,1.44,23-Nov-2020 11:30:25,,
483,Reliance Power Limited,30-Sep-2020,2805126466,446519547,    15.92,2358606919,237273203,    53.14,     8.46,,378607846,2798225035,0,0,0,13.53,23-Nov-2020 11:30:25,,31-08-2020
484,J.Kumar Infraprojects Limited,30-Sep-2020,75665506,34289451,    45.32,41376055,8000000,    23.33,    10.57,,14511217,75665498,0,0,0,19.18,23-Nov-2020 11:30:25,,26-02-2016
485,Cords Cable Industries Limited,30-Sep-2020,12927780,6675543,    51.64,6252237,0,     0.00,     0.00,,487143,12925839,0,0,0,3.77,23-Nov-2020 11:30:25,,
486,KNR Constructions Limited,30-Sep-2020,140617300,77380705,    55.03,63236595,0,     0.00,     0.00,,946602,140617230,0,0,0,0.67,23-Nov-2020 11:30:25,,
487,Tantia Constructions Limited,30-Sep-2020,28742098,20947530,    72.88,7794568,11028498,    52.65,    38.37,,11124750,18810407,0,0,0,59.14,23-Nov-2020 11:30:25,,22-06-2015
488,Sujana Universal Industries Limited,30-Jun-2020,168825972,44898335,    26.59,123927637,0,     0.00,     0.00,,2712085,167392686,0,0,0,1.62,23-Nov-2020 11:30:25,,
489,Hercules Hoists Limited,30-Sep-2020,32000000,22275720,    69.61,9724280,0,     0.00,     0.00,,439328,30323750,0,0,0,1.45,23-Nov-2020 11:30:25,,
490,OnMobile Global Limited,30-Sep-2020,103448321,50923703,    49.23,52524618,0,     0.00,     0.00,,4821074,103432493,0,0,0,4.66,23-Nov-2020 11:30:25,,
491,Shriram EPC Limited,30-Sep-2020,971529018,279391356,    28.76,692137662,180146496,    64.48,    18.54,,181202234,971527757,0,0,0,18.65,23-Nov-2020 11:30:25,,26-11-2018
492,Bang Overseas Limited,30-Sep-2020,13560000,9896384,    72.98,3663616,0,     0.00,     0.00,,153366,13438135,0,0,0,1.14,23-Nov-2020 11:30:25,,
493,IRB Infrastructure Developers Limited,30-Sep-2020,351450000,203872598,    58.01,147577402,35645000,    17.48,    10.14,,18252418,351449902,0,0,0,5.19,23-Nov-2020 11:30:25,,27-04-2016
494,Tulsi Extrusions Limited,31-Mar-2018,27494610,7114286,    25.88,20380324,3400000,    47.79,    12.37,,3542269,27493487,0,0,0,12.88,23-Nov-2020 11:30:25,,07-10-2013
495,NMDC Limited,30-Sep-2020,3061849659,2132453593,    69.65,929396066,0,     0.00,     0.00,,21717373,3061750440,0,0,0,0.71,23-Nov-2020 11:30:25,,
496,GSS Infotech Limited,30-Sep-2020,16936843,3390329,    20.02,13546514,0,     0.00,     0.00,,4122990,16586842,0,0,0,24.86,23-Nov-2020 11:30:25,,27-01-2014
497,Nahar Capital and Financial Services Limited,30-Sep-2020,16746167,11822011,    70.60,4924156,0,     0.00,     0.00,,522167,16491713,0,0,0,3.17,23-Nov-2020 11:30:25,,
498,Cera Sanitaryware Limited,30-Sep-2020,13005874,7085139,    54.48,5920735,0,     0.00,     0.00,,79850,12808588,0,0,0,0.62,23-Nov-2020 11:30:25,,
499,Sri Adhikari Brothers Television Network Limited,30-Sep-2020,34944500,7731845,    22.13,27212655,6565800,    84.92,    18.79,,12598642,34918075,0,0,0,36.08,23-Nov-2020 11:30:25,,30-12-2016
500,Religare Enterprises Limited,30-Sep-2020,258843902,2266754,     0.88,256577148,1541630,    68.01,     0.60,,14045525,258915581,0,0,0,5.42,23-Nov-2020 11:30:25,,31-08-2017
501,Barak Valley Cements Limited,30-Sep-2020,22160000,12517127,    56.49,9642873,0,     0.00,     0.00,,72754,21487994,0,0,0,0.34,23-Nov-2020 11:30:25,,
502,Radha Madhav Corporation Limited,30-Sep-2020,91295775,22782402,    24.95,68513373,2400000,    10.53,     2.63,,10050877,86339640,0,0,0,11.64,23-Nov-2020 11:30:25,,
503,Adani Ports and Special Economic Zone Limited,30-Sep-2020,2031751761,1293306018,    63.65,738445743,399068389,    30.86,    19.64,,584728599,2031388854,0,0,0,28.78,23-Nov-2020 11:30:25,30-Sep-2020,31-12-2018
504,Noesis Industries Limited,30-Jun-2018,26329091,11650144,    44.25,14678947,4133076,    35.48,    15.70,,4165971,25963593,0,0,0,16.05,23-Nov-2020 11:30:25,,
505,Shri Lakshmi Cotsyn Limited,30-Jun-2019,28470645,11180839,    39.27,17289806,6990240,    62.52,    24.55,,9709001,26691065,0,0,0,36.38,23-Nov-2020 11:30:25,,06-10-2016
506,Edelweiss Financial Services Limited,30-Sep-2020,934926527,352581270,    37.71,582345257,35608000,    10.10,     3.81,,73608695,934335542,0,0,0,7.88,23-Nov-2020 11:30:25,,31-12-2014
507,Renaissance Global Limited,30-Sep-2020,18879440,14118976,    74.78,4760464,0,     0.00,     0.00,,703998,18879390,0,0,0,3.73,23-Nov-2020 11:30:25,,
508,Kolte - Patil Developers Limited,30-Sep-2020,76004409,56582478,    74.45,19421931,0,     0.00,     0.00,,871765,76003995,0,0,0,1.15,23-Nov-2020 11:30:25,,
509,Kaushalya Infrastructure Development Corporation Limited,30-Sep-2020,34630630,17806474,    51.42,16824156,1275880,     7.17,     3.68,,1321399,34630070,0,0,0,3.82,23-Nov-2020 11:30:25,,17-09-2013
510,Colgate Palmolive (India) Limited,30-Sep-2020,271985634,138712672,    51.00,133272962,0,     0.00,     0.00,,2275671,267372130,0,0,0,0.85,23-Nov-2020 11:30:25,,
511,Jyothy Labs Limited,30-Sep-2020,367208644,230934669,    62.89,136273975,0,     0.00,     0.00,,2187663,366106636,0,0,0,0.6,23-Nov-2020 11:30:25,,26-11-2019
512,Madhav Marbles and Granites Limited,30-Sep-2020,8947000,3623458,    40.50,5323542,0,     0.00,     0.00,,93943,8715790,0,0,0,1.08,23-Nov-2020 11:30:25,,
513,Kalyani Forge Limited,30-Sep-2020,3638000,2132296,    58.61,1505704,0,     0.00,     0.00,,11433,2824034,0,0,0,0.4,23-Nov-2020 11:30:25,,
514,Hitech Corporation Limited,30-Sep-2020,17175700,12784480,    74.43,4391220,0,     0.00,     0.00,,123852,16847234,0,0,0,0.74,23-Nov-2020 11:30:25,,
515,eClerx Services Limited,30-Sep-2020,34889586,19655961,    56.34,15233625,0,     0.00,     0.00,,369887,34889564,0,0,0,1.06,23-Nov-2020 11:30:25,,
516,Transformers And Rectifiers (India) Limited,30-Sep-2020,132564110,99299150,    74.91,33264960,22100000,    22.26,    16.67,,23830845,132564030,0,0,0,17.98,23-Nov-2020 11:30:25,,14-05-2015
517,Brigade Enterprises Limited,30-Sep-2020,206380317,97683035,    47.33,108697282,0,     0.00,     0.00,,1083589,208239500,0,0,0,0.52,23-Nov-2020 11:30:25,,
518,BGR Energy Systems Limited,30-Sep-2020,72161560,54121170,    75.00,18040390,0,     0.00,     0.00,,1174814,72161029,0,0,0,1.63,23-Nov-2020 11:30:25,,
519,Burnpur Cement Limited,30-Sep-2020,86124363,23740973,    27.57,62383390,21799826,    91.82,    25.31,,24193984,86106409,0,0,0,28.1,23-Nov-2020 11:30:25,,13-08-2015
520,Kaveri Seed Company Limited,30-Sep-2020,60329133,34376634,    56.98,25952499,0,     0.00,     0.00,,797387,60329112,0,0,0,1.32,23-Nov-2020 11:30:25,,
521,Ramsarup Industries Limited,30-Jun-2020,35078480,13188896,    37.60,21889584,7893413,    59.85,    22.50,,8133423,34768961,0,0,0,23.39,23-Nov-2020 11:30:24,,31-12-2014
